Abuse001_x264: [('Fighting', 0.30537155), ('Shooting', 0.18349612), ('Vandalism', 0.17987147), ('Normal Videos', 0.1674006), ('Arson', 0.16227728), ('Arrest', 0.12186389), ('Explosion', 0.11755353), ('Accident', 0.09152554), ('Abuse', 0.08819868), ('Stealing', 0.08510065), ('Burglary', 0.08301012), ('Robbery', 0.07686375), ('Assault', 0.072600104), ('Shoplifting', 0.047343165)]
Assault001_x264: [('Vandalism', 0.38490635), ('Fighting', 0.33642304), ('Shooting', 0.28037044), ('Burglary', 0.27253905), ('Arson', 0.2698639), ('Robbery', 0.2621001), ('Normal Videos', 0.2574328), ('Assault', 0.24913795), ('Stealing', 0.23517457), ('Explosion', 0.2317344), ('Arrest', 0.21992242), ('Abuse', 0.21939822), ('Shoplifting', 0.20779058), ('Accident', 0.1549301)]
Assault002_x264: [('Burglary', 0.38212943), ('Assault', 0.3785619), ('Arrest', 0.3422832), ('Shooting', 0.34093153), ('Robbery', 0.3367086), ('Vandalism', 0.3361257), ('Shoplifting', 0.29873177), ('Stealing', 0.29782724), ('Abuse', 0.2680184), ('Fighting', 0.2630591), ('Normal Videos', 0.25080758), ('Explosion', 0.23710704), ('Arson', 0.22616573), ('Accident', 0.21809196)]
Assault003_x264: [('Burglary', 0.33922482), ('Assault', 0.3336137), ('Vandalism', 0.32937774), ('Arrest', 0.3020249), ('Robbery', 0.30075383), ('Shooting', 0.29860836), ('Fighting', 0.2905261), ('Abuse', 0.26878873), ('Stealing', 0.2649433), ('Shoplifting', 0.26356092), ('Accident', 0.24311912), ('Arson', 0.22884029), ('Normal Videos', 0.20045283), ('Explosion', 0.19137552)]
Assault004_x264: [('Vandalism', 0.37556157), ('Burglary', 0.34513798), ('Robbery', 0.32583377), ('Shooting', 0.30576557), ('Assault', 0.30215314), ('Fighting', 0.29218525), ('Shoplifting', 0.29056433), ('Stealing', 0.2867065), ('Arrest', 0.25541097), ('Accident', 0.23857239), ('Abuse', 0.23529738), ('Arson', 0.22294532), ('Normal Videos', 0.21492457), ('Explosion', 0.1585668)]
Assault005_x264: [('Vandalism', 0.40460837), ('Burglary', 0.36982596), ('Robbery', 0.32799125), ('Shoplifting', 0.31910914), ('Stealing', 0.31856537), ('Normal Videos', 0.28356838), ('Arrest', 0.2579608), ('Arson', 0.23147567), ('Abuse', 0.19548768), ('Shooting', 0.19414234), ('Explosion', 0.19149461), ('Fighting', 0.1864092), ('Accident', 0.16644429), ('Assault', 0.15977153)]
Assault006_x264: [('Shooting', 0.34972066), ('Normal Videos', 0.3421151), ('Burglary', 0.3180369), ('Vandalism', 0.3174798), ('Fighting', 0.30944842), ('Robbery', 0.28612483), ('Arson', 0.26007414), ('Stealing', 0.25471753), ('Shoplifting', 0.22163913), ('Assault', 0.21258593), ('Explosion', 0.20830819), ('Arrest', 0.19290535), ('Abuse', 0.16908541), ('Accident', 0.16767514)]
Assault007_x264: [('Burglary', 0.45466092), ('Robbery', 0.41453576), ('Assault', 0.38520378), ('Stealing', 0.38324094), ('Vandalism', 0.37576932), ('Shoplifting', 0.3665099), ('Abuse', 0.34708032), ('Shooting', 0.3209012), ('Arrest', 0.304863), ('Fighting', 0.28942418), ('Normal Videos', 0.2816905), ('Arson', 0.26116368), ('Accident', 0.23022842), ('Explosion', 0.22375481)]
Assault008_x264: [('Vandalism', 0.44452965), ('Assault', 0.35972786), ('Burglary', 0.32060236), ('Robbery', 0.32054037), ('Stealing', 0.30396524), ('Shoplifting', 0.3007605), ('Shooting', 0.29740316), ('Fighting', 0.26956335), ('Abuse', 0.26712722), ('Explosion', 0.2125307), ('Arson', 0.21183515), ('Accident', 0.20800579), ('Arrest', 0.20519243), ('Normal Videos', 0.15508987)]
Assault009_x264: [('Shooting', 0.28249994), ('Robbery', 0.26381254), ('Burglary', 0.22995159), ('Fighting', 0.22379918), ('Stealing', 0.22305411), ('Vandalism', 0.21595153), ('Shoplifting', 0.21379478), ('Accident', 0.1900457), ('Arrest', 0.18823342), ('Normal Videos', 0.16982824), ('Assault', 0.11871899), ('Arson', 0.106661424), ('Abuse', 0.10505122), ('Explosion', 0.060341552)]
Assault010_x264: [('Arrest', 0.27559474), ('Burglary', 0.27329516), ('Robbery', 0.2705816), ('Fighting', 0.25768137), ('Vandalism', 0.23906192), ('Stealing', 0.2256747), ('Shoplifting', 0.2237685), ('Shooting', 0.22063705), ('Abuse', 0.19453004), ('Normal Videos', 0.17973787), ('Arson', 0.16845563), ('Assault', 0.13828309), ('Accident', 0.1349146), ('Explosion', 0.09304161)]
Assault011_x264: [('Vandalism', 0.3463249), ('Robbery', 0.3241236), ('Shoplifting', 0.30695707), ('Burglary', 0.3049158), ('Stealing', 0.27690136), ('Arrest', 0.25139934), ('Shooting', 0.23430692), ('Normal Videos', 0.23161814), ('Assault', 0.22218345), ('Fighting', 0.21819732), ('Explosion', 0.19235584), ('Arson', 0.18195665), ('Accident', 0.15637714), ('Abuse', 0.122433096)]
Assault012_x264: [('Vandalism', 0.27656654), ('Robbery', 0.27225837), ('Fighting', 0.23564172), ('Burglary', 0.22991106), ('Stealing', 0.22388671), ('Normal Videos', 0.22250122), ('Arrest', 0.221474), ('Shooting', 0.21118782), ('Shoplifting', 0.21069999), ('Accident', 0.18797915), ('Arson', 0.15147829), ('Abuse', 0.1423464), ('Assault', 0.120746806), ('Explosion', 0.083111845)]
Assault013_x264: [('Arrest', 0.3140986), ('Assault', 0.31340587), ('Vandalism', 0.30630416), ('Shooting', 0.28882605), ('Burglary', 0.2796756), ('Robbery', 0.27249664), ('Fighting', 0.26385033), ('Shoplifting', 0.25741428), ('Stealing', 0.23770852), ('Accident', 0.22923657), ('Abuse', 0.20604727), ('Arson', 0.18473956), ('Normal Videos', 0.16776806), ('Explosion', 0.14283745)]
Assault014_x264: [('Vandalism', 0.3440209), ('Accident', 0.3063259), ('Robbery', 0.27209756), ('Burglary', 0.26133537), ('Assault', 0.24202186), ('Shoplifting', 0.23996389), ('Fighting', 0.23749763), ('Shooting', 0.22879013), ('Stealing', 0.22718291), ('Normal Videos', 0.19102079), ('Arrest', 0.18826425), ('Explosion', 0.18493117), ('Arson', 0.16566484), ('Abuse', 0.13262868)]
Assault015_x264: [('Robbery', 0.40232074), ('Burglary', 0.4012114), ('Shooting', 0.39807543), ('Shoplifting', 0.38176882), ('Stealing', 0.35637897), ('Assault', 0.33205616), ('Fighting', 0.3294235), ('Vandalism', 0.3078096), ('Arrest', 0.2505189), ('Arson', 0.19496346), ('Explosion', 0.17654537), ('Normal Videos', 0.1731403), ('Abuse', 0.16237265), ('Accident', 0.13125587)]
Assault016_x264: [('Burglary', 0.32509893), ('Robbery', 0.30936146), ('Shooting', 0.28187948), ('Shoplifting', 0.27054363), ('Assault', 0.26168302), ('Stealing', 0.26137835), ('Arrest', 0.2595672), ('Normal Videos', 0.253227), ('Vandalism', 0.2423608), ('Fighting', 0.23792237), ('Accident', 0.18325411), ('Arson', 0.16630502), ('Explosion', 0.15358785), ('Abuse', 0.14837141)]
Assault017_x264: [('Burglary', 0.41137254), ('Vandalism', 0.37651753), ('Robbery', 0.35575062), ('Shoplifting', 0.32688624), ('Stealing', 0.32594138), ('Shooting', 0.29379645), ('Assault', 0.28218922), ('Normal Videos', 0.258754), ('Arrest', 0.25744253), ('Abuse', 0.23987688), ('Arson', 0.23099671), ('Fighting', 0.22490183), ('Accident', 0.20263156), ('Explosion', 0.18124878)]
Assault018_x264: [('Vandalism', 0.18184006), ('Accident', 0.16804066), ('Normal Videos', 0.1547104), ('Explosion', 0.10819259), ('Arrest', 0.06344712), ('Shooting', 0.061427057), ('Assault', 0.057910204), ('Robbery', 0.0500771), ('Arson', 0.04529976), ('Burglary', 0.036408745), ('Fighting', 0.03558076), ('Shoplifting', 0.030217769), ('Stealing', 0.021153633), ('Abuse', 0.01742188)]
Assault019_x264: [('Burglary', 0.3546747), ('Robbery', 0.35042813), ('Shoplifting', 0.32258573), ('Shooting', 0.31743237), ('Assault', 0.30475497), ('Vandalism', 0.3023612), ('Stealing', 0.29001236), ('Fighting', 0.27374217), ('Arrest', 0.2706022), ('Normal Videos', 0.22715901), ('Accident', 0.19663647), ('Arson', 0.16600111), ('Abuse', 0.1645066), ('Explosion', 0.13966699)]
Assault020_x264: [('Vandalism', 0.34180945), ('Robbery', 0.2245578), ('Shoplifting', 0.22332248), ('Fighting', 0.21603894), ('Burglary', 0.20777667), ('Accident', 0.20603882), ('Stealing', 0.20594816), ('Arrest', 0.20395535), ('Arson', 0.19732979), ('Abuse', 0.18489055), ('Normal Videos', 0.18268678), ('Assault', 0.16758308), ('Explosion', 0.14723969), ('Shooting', 0.14402294)]
Assault022_x264: [('Shooting', 0.3354221), ('Burglary', 0.32046548), ('Robbery', 0.30482468), ('Fighting', 0.29685608), ('Vandalism', 0.29325393), ('Accident', 0.28276965), ('Shoplifting', 0.2656167), ('Stealing', 0.25852436), ('Normal Videos', 0.25226432), ('Arrest', 0.25120947), ('Assault', 0.24529195), ('Arson', 0.20747851), ('Explosion', 0.19052544), ('Abuse', 0.14668897)]
Assault023_x264: [('Vandalism', 0.3046888), ('Arrest', 0.25117847), ('Robbery', 0.19883335), ('Fighting', 0.17945912), ('Burglary', 0.15977253), ('Accident', 0.15288463), ('Shoplifting', 0.14927289), ('Arson', 0.14353263), ('Shooting', 0.14151873), ('Stealing', 0.14102149), ('Explosion', 0.13673478), ('Assault', 0.1356473), ('Abuse', 0.12192003), ('Normal Videos', 0.121009916)]
Assault024_x264: [('Vandalism', 0.26782933), ('Burglary', 0.25345388), ('Arrest', 0.24779618), ('Robbery', 0.24157672), ('Normal Videos', 0.21376194), ('Shoplifting', 0.20806849), ('Stealing', 0.20753723), ('Shooting', 0.20722201), ('Fighting', 0.20091358), ('Arson', 0.18210435), ('Explosion', 0.12789837), ('Accident', 0.1153486), ('Assault', 0.112108745), ('Abuse', 0.0800542)]
Assault025_x264: [('Vandalism', 0.31070018), ('Fighting', 0.24999312), ('Robbery', 0.19107068), ('Shoplifting', 0.18067086), ('Accident', 0.17695689), ('Stealing', 0.1744219), ('Shooting', 0.1579219), ('Arrest', 0.15394032), ('Arson', 0.15192977), ('Burglary', 0.14867829), ('Normal Videos', 0.14672348), ('Explosion', 0.13418956), ('Abuse', 0.13395002), ('Assault', 0.11742747)]
Assault026_x264: [('Shooting', 0.36639446), ('Burglary', 0.3599443), ('Robbery', 0.34485728), ('Vandalism', 0.343723), ('Assault', 0.3402375), ('Fighting', 0.31644735), ('Arrest', 0.3057664), ('Shoplifting', 0.30155173), ('Stealing', 0.30000287), ('Explosion', 0.2650792), ('Abuse', 0.25460786), ('Arson', 0.23353827), ('Normal Videos', 0.21363132), ('Accident', 0.19569936)]
Assault027_x264: [('Shoplifting', 0.43793488), ('Robbery', 0.43163413), ('Burglary', 0.4199781), ('Stealing', 0.40033644), ('Arrest', 0.35062918), ('Vandalism', 0.3056177), ('Shooting', 0.2893244), ('Assault', 0.26961195), ('Normal Videos', 0.24770716), ('Fighting', 0.23915172), ('Arson', 0.19959451), ('Abuse', 0.1971066), ('Accident', 0.19070086), ('Explosion', 0.14457588)]
Assault028_x264: [('Vandalism', 0.28878775), ('Burglary', 0.26351613), ('Normal Videos', 0.2598429), ('Robbery', 0.25383943), ('Shoplifting', 0.2252216), ('Stealing', 0.21766368), ('Accident', 0.21714422), ('Arrest', 0.19557104), ('Fighting', 0.19167167), ('Shooting', 0.18730782), ('Assault', 0.17521915), ('Abuse', 0.16633683), ('Arson', 0.16564196), ('Explosion', 0.10615278)]
Assault029_x264: [('Vandalism', 0.27420738), ('Robbery', 0.2606269), ('Fighting', 0.25952595), ('Burglary', 0.22658736), ('Stealing', 0.22507378), ('Normal Videos', 0.21387976), ('Shoplifting', 0.211427), ('Accident', 0.20505509), ('Arrest', 0.18705437), ('Arson', 0.18318737), ('Shooting', 0.17670244), ('Abuse', 0.15020013), ('Assault', 0.13050792), ('Explosion', 0.08660622)]
Assault030_x264: [('Vandalism', 0.27929914), ('Fighting', 0.26626176), ('Shooting', 0.23952222), ('Arrest', 0.2296592), ('Explosion', 0.22780597), ('Burglary', 0.22175196), ('Arson', 0.21714686), ('Assault', 0.21511194), ('Robbery', 0.21314873), ('Normal Videos', 0.18986064), ('Abuse', 0.18589768), ('Shoplifting', 0.17847519), ('Accident', 0.17327102), ('Stealing', 0.1662373)]
Assault031_x264: [('Vandalism', 0.47723806), ('Robbery', 0.40317994), ('Arrest', 0.3896377), ('Assault', 0.36763984), ('Burglary', 0.355852), ('Fighting', 0.33591348), ('Shooting', 0.33321002), ('Stealing', 0.31715643), ('Shoplifting', 0.31418645), ('Abuse', 0.30974382), ('Arson', 0.30381662), ('Accident', 0.28022647), ('Explosion', 0.25759578), ('Normal Videos', 0.19174804)]
Assault032_x264: [('Vandalism', 0.25188786), ('Robbery', 0.23090035), ('Shoplifting', 0.22510543), ('Burglary', 0.22359475), ('Stealing', 0.21306548), ('Normal Videos', 0.18697196), ('Fighting', 0.17017192), ('Arrest', 0.16997482), ('Arson', 0.16139784), ('Assault', 0.14830703), ('Shooting', 0.1419729), ('Accident', 0.1402095), ('Abuse', 0.089813516), ('Explosion', 0.08546414)]
Assault033_x264: [('Shooting', 0.26498443), ('Arrest', 0.2603466), ('Burglary', 0.23019822), ('Vandalism', 0.22219625), ('Normal Videos', 0.21202773), ('Explosion', 0.20892006), ('Fighting', 0.20423678), ('Arson', 0.20276392), ('Assault', 0.19460952), ('Accident', 0.19278903), ('Robbery', 0.18343788), ('Abuse', 0.14994411), ('Shoplifting', 0.14775532), ('Stealing', 0.1440352)]
Assault034_x264: [('Vandalism', 0.26662484), ('Burglary', 0.22980396), ('Fighting', 0.21144405), ('Stealing', 0.20575711), ('Robbery', 0.2029916), ('Shooting', 0.20131546), ('Shoplifting', 0.20130967), ('Normal Videos', 0.16566177), ('Accident', 0.15957339), ('Arson', 0.13969997), ('Assault', 0.13685171), ('Arrest', 0.13405718), ('Abuse', 0.09993301), ('Explosion', 0.08923596)]
Assault035_x264: [('Vandalism', 0.3523284), ('Robbery', 0.3225718), ('Burglary', 0.3161198), ('Shoplifting', 0.31272566), ('Stealing', 0.2913195), ('Arson', 0.26481956), ('Fighting', 0.2584481), ('Explosion', 0.20203319), ('Assault', 0.20188183), ('Shooting', 0.18970482), ('Accident', 0.18490878), ('Arrest', 0.17740624), ('Abuse', 0.17533681), ('Normal Videos', 0.14791812)]
Assault036_x264: [('Vandalism', 0.3720688), ('Fighting', 0.32339543), ('Robbery', 0.28018153), ('Burglary', 0.26025593), ('Arson', 0.24974467), ('Normal Videos', 0.24958193), ('Stealing', 0.2339876), ('Arrest', 0.23104775), ('Assault', 0.22449535), ('Shooting', 0.21829364), ('Shoplifting', 0.20069528), ('Explosion', 0.19989446), ('Accident', 0.19135368), ('Abuse', 0.17780507)]
Assault037_x264: [('Shooting', 0.2521994), ('Fighting', 0.2285457), ('Robbery', 0.22687383), ('Vandalism', 0.2197352), ('Burglary', 0.21307622), ('Arrest', 0.20715296), ('Normal Videos', 0.19540341), ('Shoplifting', 0.19269267), ('Stealing', 0.17808062), ('Abuse', 0.14559463), ('Assault', 0.13337731), ('Arson', 0.118863516), ('Accident', 0.11843352), ('Explosion', 0.065669715)]
Assault038_x264: [('Fighting', 0.3834183), ('Assault', 0.23904505), ('Shooting', 0.22930351), ('Vandalism', 0.16055137), ('Robbery', 0.14114472), ('Arrest', 0.1380963), ('Abuse', 0.12137628), ('Burglary', 0.11111568), ('Stealing', 0.10279544), ('Arson', 0.099716716), ('Explosion', 0.097411245), ('Shoplifting', 0.07893566), ('Accident', 0.06630525), ('Normal Videos', 0.024373349)]
Assault039_x264: [('Fighting', 0.3594527), ('Assault', 0.33700284), ('Vandalism', 0.31822538), ('Robbery', 0.30272642), ('Burglary', 0.28721243), ('Shoplifting', 0.28044662), ('Stealing', 0.26303586), ('Arson', 0.24439242), ('Explosion', 0.22876398), ('Shooting', 0.21266595), ('Abuse', 0.19237033), ('Arrest', 0.1848895), ('Normal Videos', 0.16779956), ('Accident', 0.10924159)]
Assault040_x264: [('Burglary', 0.30924767), ('Vandalism', 0.29550076), ('Normal Videos', 0.25992236), ('Robbery', 0.2533448), ('Stealing', 0.2413746), ('Shoplifting', 0.23092285), ('Shooting', 0.21915239), ('Accident', 0.20393142), ('Fighting', 0.19030346), ('Arrest', 0.1840623), ('Arson', 0.1768068), ('Assault', 0.15138745), ('Abuse', 0.12930918), ('Explosion', 0.1140957)]
Assault041_x264: [('Shoplifting', 0.32597616), ('Vandalism', 0.32494628), ('Burglary', 0.32374892), ('Robbery', 0.31025195), ('Stealing', 0.29549217), ('Shooting', 0.29304004), ('Normal Videos', 0.25857008), ('Fighting', 0.2489249), ('Arrest', 0.22063512), ('Arson', 0.2123163), ('Explosion', 0.20880084), ('Abuse', 0.1512973), ('Assault', 0.13446054), ('Accident', 0.10514854)]
Assault042_x264: [('Vandalism', 0.22939718), ('Normal Videos', 0.22586176), ('Burglary', 0.21219349), ('Fighting', 0.19439524), ('Shooting', 0.18196088), ('Assault', 0.18067828), ('Robbery', 0.17904529), ('Stealing', 0.17515573), ('Shoplifting', 0.17056517), ('Accident', 0.15853721), ('Arrest', 0.13046879), ('Arson', 0.1107508), ('Abuse', 0.108731076), ('Explosion', 0.09058379)]
Assault044_x264: [('Assault', 0.39545214), ('Fighting', 0.30875623), ('Vandalism', 0.297129), ('Shoplifting', 0.26574686), ('Robbery', 0.26187894), ('Burglary', 0.24635407), ('Shooting', 0.23535031), ('Stealing', 0.23257631), ('Abuse', 0.20924297), ('Explosion', 0.17835088), ('Arson', 0.17625833), ('Arrest', 0.14512536), ('Normal Videos', 0.11699437), ('Accident', 0.06500598)]
Assault045_x264: [('Accident', 0.19613302), ('Explosion', 0.18973497), ('Arson', 0.18583494), ('Fighting', 0.18471876), ('Normal Videos', 0.1762799), ('Vandalism', 0.16415828), ('Arrest', 0.15313174), ('Abuse', 0.12624331), ('Shooting', 0.11043838), ('Robbery', 0.10883303), ('Shoplifting', 0.09237982), ('Burglary', 0.08868694), ('Assault', 0.08765163), ('Stealing', 0.072109535)]
Assault046_x264: [('Burglary', 0.4094237), ('Robbery', 0.370014), ('Assault', 0.36771315), ('Vandalism', 0.35984933), ('Stealing', 0.33081335), ('Shooting', 0.32911903), ('Shoplifting', 0.32430333), ('Normal Videos', 0.32108456), ('Arrest', 0.31108415), ('Fighting', 0.30928895), ('Arson', 0.23342177), ('Abuse', 0.21593717), ('Accident', 0.21345161), ('Explosion', 0.18404236)]
Assault047_x264: [('Vandalism', 0.24067336), ('Accident', 0.20871985), ('Explosion', 0.1776604), ('Arson', 0.15956429), ('Burglary', 0.15572673), ('Normal Videos', 0.15571362), ('Robbery', 0.1539678), ('Arrest', 0.14288208), ('Shooting', 0.14042234), ('Fighting', 0.12902194), ('Stealing', 0.1156086), ('Shoplifting', 0.11100043), ('Assault', 0.10646323), ('Abuse', 0.04819414)]
Assault048_x264: [('Fighting', 0.29968467), ('Vandalism', 0.2931216), ('Accident', 0.2894836), ('Robbery', 0.2131353), ('Shooting', 0.20056416), ('Abuse', 0.19145194), ('Assault', 0.18865483), ('Shoplifting', 0.18754542), ('Stealing', 0.18295673), ('Explosion', 0.17650953), ('Arrest', 0.165618), ('Burglary', 0.16072989), ('Arson', 0.14268592), ('Normal Videos', 0.1413462)]
Assault049_x264: [('Fighting', 0.29222915), ('Shooting', 0.2500522), ('Vandalism', 0.20757794), ('Normal Videos', 0.18303365), ('Robbery', 0.16936263), ('Burglary', 0.16812474), ('Stealing', 0.16190413), ('Shoplifting', 0.14662829), ('Arson', 0.1440336), ('Arrest', 0.13275751), ('Accident', 0.13212734), ('Assault', 0.10943411), ('Explosion', 0.09946841), ('Abuse', 0.09719591)]
Assault050_x264: [('Robbery', 0.4509211), ('Burglary', 0.4372978), ('Shoplifting', 0.43461367), ('Stealing', 0.40379435), ('Vandalism', 0.37682784), ('Assault', 0.37377065), ('Shooting', 0.35682297), ('Arrest', 0.3526557), ('Fighting', 0.3430475), ('Arson', 0.26146543), ('Abuse', 0.2545172), ('Explosion', 0.2543289), ('Accident', 0.18484655), ('Normal Videos', 0.15273665)]
Assault051_x264: [('Assault', 0.33642206), ('Vandalism', 0.3307089), ('Robbery', 0.3099118), ('Arrest', 0.2944094), ('Burglary', 0.29061317), ('Shooting', 0.2847407), ('Explosion', 0.27350032), ('Fighting', 0.26631767), ('Shoplifting', 0.24894853), ('Accident', 0.23689729), ('Stealing', 0.23446462), ('Arson', 0.22753803), ('Abuse', 0.18740463), ('Normal Videos', 0.18220809)]
Assault052_x264: [('Vandalism', 0.41366106), ('Robbery', 0.38609737), ('Burglary', 0.37778807), ('Stealing', 0.35101515), ('Shoplifting', 0.34926897), ('Shooting', 0.33286697), ('Fighting', 0.331735), ('Arrest', 0.31997624), ('Assault', 0.29934087), ('Arson', 0.29591292), ('Abuse', 0.26079333), ('Normal Videos', 0.25735343), ('Accident', 0.23128462), ('Explosion', 0.20913908)]
Burglary001_x264: [('Vandalism', 0.33804187), ('Shooting', 0.298203), ('Fighting', 0.29628786), ('Arson', 0.28115645), ('Explosion', 0.27680817), ('Burglary', 0.2667243), ('Normal Videos', 0.25360543), ('Robbery', 0.24414371), ('Stealing', 0.20946112), ('Accident', 0.20181695), ('Arrest', 0.19593403), ('Shoplifting', 0.19374944), ('Abuse', 0.1747962), ('Assault', 0.16619878)]
Burglary002_x264: [('Shooting', 0.18972741), ('Fighting', 0.18934824), ('Normal Videos', 0.18725139), ('Vandalism', 0.177023), ('Arson', 0.15311232), ('Accident', 0.1519573), ('Arrest', 0.14828938), ('Abuse', 0.13209161), ('Burglary', 0.12027721), ('Stealing', 0.095889226), ('Robbery', 0.08781651), ('Assault', 0.08134398), ('Explosion', 0.07577881), ('Shoplifting', 0.056306276)]
Burglary003_x264: [('Vandalism', 0.19388218), ('Fighting', 0.15310389), ('Arrest', 0.14461906), ('Shooting', 0.14160961), ('Normal Videos', 0.12754816), ('Accident', 0.12741286), ('Explosion', 0.11027919), ('Assault', 0.10752921), ('Abuse', 0.10527677), ('Robbery', 0.081925295), ('Arson', 0.07731334), ('Stealing', 0.07578322), ('Burglary', 0.062413346), ('Shoplifting', 0.038873613)]
Burglary004_x264: [('Burglary', 0.5119978), ('Robbery', 0.46306705), ('Shoplifting', 0.45255727), ('Stealing', 0.40916526), ('Vandalism', 0.393387), ('Shooting', 0.32467753), ('Arrest', 0.32024476), ('Normal Videos', 0.31747198), ('Assault', 0.27632368), ('Fighting', 0.25744352), ('Abuse', 0.24963814), ('Explosion', 0.2334235), ('Arson', 0.23159257), ('Accident', 0.22807512)]
Burglary005_x264: [('Burglary', 0.25096104), ('Vandalism', 0.2272973), ('Shooting', 0.1991314), ('Normal Videos', 0.19197424), ('Robbery', 0.1911993), ('Fighting', 0.18815939), ('Stealing', 0.18721709), ('Accident', 0.17969711), ('Shoplifting', 0.17704478), ('Arrest', 0.16065565), ('Assault', 0.13202754), ('Arson', 0.12567304), ('Abuse', 0.089771055), ('Explosion', 0.08424392)]
Burglary006_x264: [('Normal Videos', 0.26520756), ('Burglary', 0.24621561), ('Vandalism', 0.22662151), ('Shooting', 0.21796), ('Fighting', 0.19780314), ('Robbery', 0.19279622), ('Stealing', 0.17695233), ('Abuse', 0.1713686), ('Arson', 0.16808572), ('Arrest', 0.16363363), ('Shoplifting', 0.16265795), ('Assault', 0.13902685), ('Accident', 0.121178225), ('Explosion', 0.09759301)]
Burglary007_x264: [('Vandalism', 0.41044152), ('Burglary', 0.36620572), ('Robbery', 0.34523103), ('Shoplifting', 0.31978917), ('Stealing', 0.2914327), ('Normal Videos', 0.28259563), ('Explosion', 0.27803278), ('Fighting', 0.2476762), ('Accident', 0.24052443), ('Shooting', 0.23012872), ('Arson', 0.22814427), ('Arrest', 0.20523861), ('Abuse', 0.2049196), ('Assault', 0.18594548)]
Burglary008_x264: [('Vandalism', 0.36017185), ('Burglary', 0.30969015), ('Shooting', 0.3055856), ('Arrest', 0.29907084), ('Normal Videos', 0.27528903), ('Robbery', 0.2711643), ('Arson', 0.2673655), ('Fighting', 0.26599258), ('Stealing', 0.2645461), ('Explosion', 0.23312517), ('Assault', 0.227593), ('Shoplifting', 0.22578318), ('Abuse', 0.20231019), ('Accident', 0.17561778)]
Burglary009_x264: [('Shoplifting', 0.39856556), ('Robbery', 0.3703137), ('Burglary', 0.36553097), ('Stealing', 0.32954708), ('Vandalism', 0.2774107), ('Normal Videos', 0.24414843), ('Arrest', 0.23503882), ('Shooting', 0.19908321), ('Assault', 0.1504335), ('Explosion', 0.13855211), ('Fighting', 0.13493314), ('Arson', 0.13205782), ('Accident', 0.123185575), ('Abuse', 0.08507347)]
Burglary010_x264: [('Burglary', 0.5758218), ('Robbery', 0.54394823), ('Shoplifting', 0.525798), ('Stealing', 0.51274294), ('Vandalism', 0.37536752), ('Arrest', 0.33074343), ('Normal Videos', 0.32501575), ('Shooting', 0.3099308), ('Assault', 0.30227315), ('Abuse', 0.25938964), ('Fighting', 0.24776843), ('Arson', 0.24191324), ('Accident', 0.22241244), ('Explosion', 0.21542102)]
Burglary011_x264: [('Shooting', 0.40052575), ('Vandalism', 0.33984417), ('Accident', 0.3376323), ('Arrest', 0.32392716), ('Robbery', 0.32134354), ('Burglary', 0.30872592), ('Explosion', 0.27073014), ('Fighting', 0.2647711), ('Arson', 0.26024145), ('Stealing', 0.25233495), ('Normal Videos', 0.24208237), ('Shoplifting', 0.24015006), ('Abuse', 0.1930014), ('Assault', 0.16525684)]
Burglary012_x264: [('Shoplifting', 0.31870273), ('Robbery', 0.28036967), ('Shooting', 0.27482012), ('Burglary', 0.2733205), ('Stealing', 0.25534272), ('Vandalism', 0.24886814), ('Normal Videos', 0.2317644), ('Arrest', 0.22989689), ('Fighting', 0.19132912), ('Arson', 0.15938891), ('Assault', 0.1495386), ('Explosion', 0.11795466), ('Abuse', 0.09591524), ('Accident', 0.08301127)]
Burglary013_x264: [('Robbery', 0.26507095), ('Shoplifting', 0.25333098), ('Burglary', 0.25261053), ('Stealing', 0.24791956), ('Fighting', 0.22884268), ('Normal Videos', 0.2171031), ('Vandalism', 0.20570084), ('Arrest', 0.17822568), ('Accident', 0.16756824), ('Shooting', 0.16724452), ('Arson', 0.143258), ('Abuse', 0.13872439), ('Explosion', 0.13375424), ('Assault', 0.13020432)]
Burglary014_x264: [('Vandalism', 0.47848046), ('Burglary', 0.37300116), ('Robbery', 0.35639912), ('Stealing', 0.32039082), ('Shoplifting', 0.30939522), ('Arson', 0.3085864), ('Assault', 0.30386764), ('Shooting', 0.29660314), ('Fighting', 0.2908047), ('Explosion', 0.2676746), ('Accident', 0.2634905), ('Abuse', 0.26082942), ('Arrest', 0.25391188), ('Normal Videos', 0.22539705)]
Burglary015_x264: [('Burglary', 0.47284365), ('Robbery', 0.46355343), ('Shoplifting', 0.4557664), ('Stealing', 0.41053343), ('Assault', 0.37703335), ('Shooting', 0.35518277), ('Arrest', 0.32682952), ('Vandalism', 0.29863483), ('Fighting', 0.28050202), ('Normal Videos', 0.25059754), ('Arson', 0.2071582), ('Abuse', 0.2033873), ('Explosion', 0.1796704), ('Accident', 0.1794205)]
Burglary016_x264: [('Vandalism', 0.21279405), ('Burglary', 0.21256995), ('Stealing', 0.1938875), ('Fighting', 0.184667), ('Robbery', 0.18457891), ('Normal Videos', 0.1751798), ('Shoplifting', 0.15908796), ('Shooting', 0.15315296), ('Accident', 0.123759136), ('Arson', 0.11356738), ('Abuse', 0.09782264), ('Explosion', 0.09573553), ('Assault', 0.093575075), ('Arrest', 0.08216473)]
