Abuse001_x264: [('Fighting', 0.2473864), ('Assault', 0.24733552), ('Abuse', 0.22662574), ('Explosion', 0.2183716), ('Burglary', 0.21833363), ('Arrest', 0.19959828), ('Vandalism', 0.19219466), ('Robbery', 0.18040663), ('Normal_Videos_', 0.1694072), ('Arson', 0.15237531), ('RoadAccidents', 0.1517644), ('Shooting', 0.14273702), ('Stealing', 0.13822368), ('Shoplifting', 0.11471912)]
Fighting037_x264: [('RoadAccidents', 0.30461538), ('Arrest', 0.2780881), ('Fighting', 0.26864856), ('Burglary', 0.26192933), ('Assault', 0.25099546), ('Explosion', 0.24822511), ('Abuse', 0.24720477), ('Shoplifting', 0.21043077), ('Normal_Videos_', 0.20738445), ('Robbery', 0.20475222), ('Shooting', 0.20041642), ('Vandalism', 0.19412449), ('Arson', 0.1742091), ('Stealing', 0.15897489)]
Fighting038_x264: [('Fighting', 0.37048292), ('Assault', 0.33525634), ('Arrest', 0.32007387), ('Burglary', 0.2949826), ('Shoplifting', 0.27793717), ('Abuse', 0.27719942), ('Robbery', 0.2735936), ('Vandalism', 0.26790544), ('Shooting', 0.21729252), ('Stealing', 0.2121906), ('RoadAccidents', 0.20562258), ('Arson', 0.18888655), ('Explosion', 0.18826416), ('Normal_Videos_', 0.15618777)]
RoadAccidents001_x264: [('RoadAccidents', 0.4053281), ('Arrest', 0.27328944), ('Assault', 0.26961753), ('Shooting', 0.24515992), ('Vandalism', 0.23416908), ('Fighting', 0.23343815), ('Explosion', 0.22803083), ('Burglary', 0.20522961), ('Normal_Videos_', 0.18134806), ('Shoplifting', 0.15458035), ('Arson', 0.15016228), ('Robbery', 0.15009302), ('Abuse', 0.13465732), ('Stealing', 0.11619236)]
RoadAccidents002_x264: [('RoadAccidents', 0.50581324), ('Vandalism', 0.28442296), ('Arson', 0.23746869), ('Explosion', 0.21960016), ('Shooting', 0.21255988), ('Shoplifting', 0.20380491), ('Assault', 0.19860986), ('Burglary', 0.18894848), ('Arrest', 0.18217862), ('Stealing', 0.17798853), ('Robbery', 0.17624898), ('Normal_Videos_', 0.17018215), ('Abuse', 0.16904885), ('Fighting', 0.16213238)]
RoadAccidents003_x264: [('RoadAccidents', 0.3142357), ('Shoplifting', 0.19642639), ('Vandalism', 0.18819886), ('Explosion', 0.17388278), ('Normal_Videos_', 0.17125362), ('Assault', 0.16892323), ('Burglary', 0.1661345), ('Stealing', 0.16362399), ('Arrest', 0.16119203), ('Robbery', 0.1570009), ('Shooting', 0.13322818), ('Fighting', 0.1309948), ('Abuse', 0.12935697), ('Arson', 0.12563702)]
RoadAccidents004_x264: [('RoadAccidents', 0.50173503), ('Explosion', 0.28312016), ('Shooting', 0.23700783), ('Arson', 0.22476417), ('Vandalism', 0.22091469), ('Fighting', 0.2206673), ('Normal_Videos_', 0.21754193), ('Assault', 0.20991689), ('Arrest', 0.20950074), ('Burglary', 0.18640612), ('Abuse', 0.17994438), ('Shoplifting', 0.17224874), ('Stealing', 0.16199923), ('Robbery', 0.15693693)]
RoadAccidents005_x264: [('RoadAccidents', 0.42950135), ('Shooting', 0.19889599), ('Fighting', 0.18004921), ('Vandalism', 0.15041706), ('Assault', 0.14228648), ('Explosion', 0.1323438), ('Burglary', 0.11423813), ('Arson', 0.112740874), ('Stealing', 0.111351885), ('Shoplifting', 0.11074785), ('Normal_Videos_', 0.08617489), ('Abuse', 0.08554292), ('Robbery', 0.081716046), ('Arrest', 0.07379049)]
RoadAccidents006_x264: [('RoadAccidents', 0.37312338), ('Burglary', 0.25998157), ('Arson', 0.22665301), ('Shoplifting', 0.22628841), ('Explosion', 0.2260678), ('Arrest', 0.21655399), ('Vandalism', 0.21429364), ('Shooting', 0.19636235), ('Normal_Videos_', 0.19036573), ('Robbery', 0.17914951), ('Assault', 0.17481863), ('Stealing', 0.17063995), ('Fighting', 0.15269163), ('Abuse', 0.14564517)]
RoadAccidents007_x264: [('RoadAccidents', 0.46473587), ('Explosion', 0.23166578), ('Normal_Videos_', 0.22784977), ('Arson', 0.21743342), ('Arrest', 0.21105818), ('Burglary', 0.20152926), ('Vandalism', 0.18816048), ('Shooting', 0.18371674), ('Assault', 0.1662282), ('Abuse', 0.14661136), ('Shoplifting', 0.14473122), ('Robbery', 0.14300852), ('Fighting', 0.12778261), ('Stealing', 0.126003)]
RoadAccidents008_x264: [('RoadAccidents', 0.4675631), ('Vandalism', 0.4007711), ('Burglary', 0.38971898), ('Shoplifting', 0.3312547), ('Arson', 0.3172907), ('Robbery', 0.29437292), ('Stealing', 0.2935521), ('Assault', 0.28542036), ('Abuse', 0.27517736), ('Arrest', 0.27279928), ('Explosion', 0.24691525), ('Shooting', 0.2324356), ('Normal_Videos_', 0.226466), ('Fighting', 0.18096045)]
RoadAccidents009_x264: [('RoadAccidents', 0.53119755), ('Assault', 0.3122515), ('Arrest', 0.29743102), ('Vandalism', 0.29242283), ('Burglary', 0.281745), ('Arson', 0.27594048), ('Explosion', 0.26432723), ('Shooting', 0.2603178), ('Abuse', 0.23031342), ('Normal_Videos_', 0.22594315), ('Shoplifting', 0.22410506), ('Robbery', 0.21361285), ('Fighting', 0.19935556), ('Stealing', 0.16910014)]
RoadAccidents010_x264: [('RoadAccidents', 0.4112324), ('Arrest', 0.23156545), ('Assault', 0.2273008), ('Vandalism', 0.2181432), ('Robbery', 0.20815016), ('Burglary', 0.20747998), ('Normal_Videos_', 0.1971156), ('Fighting', 0.18353662), ('Explosion', 0.18277523), ('Abuse', 0.18117979), ('Shooting', 0.17968622), ('Arson', 0.17687975), ('Stealing', 0.16186398), ('Shoplifting', 0.15161875)]
RoadAccidents011_x264: [('RoadAccidents', 0.4809605), ('Explosion', 0.25766915), ('Vandalism', 0.24568741), ('Normal_Videos_', 0.23712996), ('Arrest', 0.22440244), ('Assault', 0.2166967), ('Burglary', 0.20611523), ('Arson', 0.19874132), ('Shooting', 0.19650102), ('Fighting', 0.19600669), ('Robbery', 0.17467025), ('Shoplifting', 0.1708192), ('Abuse', 0.16923003), ('Stealing', 0.15386164)]
RoadAccidents012_x264: [('RoadAccidents', 0.4881211), ('Vandalism', 0.21516973), ('Assault', 0.1940257), ('Shooting', 0.18421896), ('Burglary', 0.18311816), ('Shoplifting', 0.1828323), ('Robbery', 0.17765087), ('Explosion', 0.17697066), ('Fighting', 0.1700623), ('Normal_Videos_', 0.16172126), ('Arrest', 0.15813255), ('Stealing', 0.14700356), ('Arson', 0.14613171), ('Abuse', 0.10610805)]
RoadAccidents013_x264: [('Arson', 0.4764808), ('Explosion', 0.39067465), ('RoadAccidents', 0.3776347), ('Burglary', 0.2505523), ('Vandalism', 0.23667459), ('Shooting', 0.2350629), ('Robbery', 0.2286082), ('Arrest', 0.20879059), ('Shoplifting', 0.20664507), ('Stealing', 0.19693036), ('Normal_Videos_', 0.1812098), ('Fighting', 0.16251238), ('Assault', 0.1470941), ('Abuse', 0.12756793)]
RoadAccidents014_x264: [('RoadAccidents', 0.5117363), ('Normal_Videos_', 0.2290225), ('Shoplifting', 0.2044965), ('Vandalism', 0.20436254), ('Shooting', 0.19184983), ('Burglary', 0.19007835), ('Arson', 0.1735355), ('Arrest', 0.16168287), ('Stealing', 0.15727854), ('Explosion', 0.15364012), ('Abuse', 0.14642833), ('Fighting', 0.1359989), ('Assault', 0.13281254), ('Robbery', 0.12053362)]
RoadAccidents015_x264: [('RoadAccidents', 0.4555292), ('Explosion', 0.28253177), ('Arrest', 0.2753257), ('Normal_Videos_', 0.27091247), ('Burglary', 0.24324742), ('Arson', 0.23628981), ('Vandalism', 0.23553258), ('Shooting', 0.2020555), ('Robbery', 0.20010427), ('Shoplifting', 0.19615602), ('Assault', 0.1884262), ('Stealing', 0.16282192), ('Abuse', 0.15016605), ('Fighting', 0.14425324)]
RoadAccidents016_x264: [('RoadAccidents', 0.4838959), ('Explosion', 0.27052286), ('Vandalism', 0.24092665), ('Arrest', 0.22918387), ('Shooting', 0.22831614), ('Arson', 0.21947229), ('Fighting', 0.20121264), ('Assault', 0.18188635), ('Burglary', 0.18081596), ('Robbery', 0.1690138), ('Normal_Videos_', 0.16792676), ('Stealing', 0.15561251), ('Abuse', 0.15352236), ('Shoplifting', 0.15080674)]
RoadAccidents017_x264: [('RoadAccidents', 0.5434624), ('Explosion', 0.25347343), ('Vandalism', 0.21584004), ('Shooting', 0.21375586), ('Fighting', 0.20813751), ('Burglary', 0.20234196), ('Assault', 0.1912708), ('Arson', 0.18850142), ('Shoplifting', 0.18775225), ('Normal_Videos_', 0.18755373), ('Stealing', 0.16079333), ('Arrest', 0.16035384), ('Abuse', 0.1360194), ('Robbery', 0.13341239)]
RoadAccidents018_x264: [('RoadAccidents', 0.5569742), ('Explosion', 0.28553575), ('Vandalism', 0.25535133), ('Normal_Videos_', 0.25012976), ('Arrest', 0.24762298), ('Arson', 0.23230495), ('Shooting', 0.2292256), ('Assault', 0.22512507), ('Burglary', 0.22113748), ('Shoplifting', 0.19199896), ('Robbery', 0.18546304), ('Abuse', 0.17918271), ('Stealing', 0.17082848), ('Fighting', 0.14711492)]
RoadAccidents019_x264: [('RoadAccidents', 0.39491025), ('Vandalism', 0.26205775), ('Burglary', 0.23851997), ('Assault', 0.23084223), ('Robbery', 0.23001528), ('Arrest', 0.22873122), ('Shooting', 0.20927194), ('Explosion', 0.20761421), ('Stealing', 0.1955144), ('Abuse', 0.18739633), ('Shoplifting', 0.18648687), ('Fighting', 0.18204291), ('Normal_Videos_', 0.17031883), ('Arson', 0.16089845)]
RoadAccidents020_x264: [('RoadAccidents', 0.42679563), ('Explosion', 0.29168394), ('Arrest', 0.26165205), ('Vandalism', 0.2555413), ('Assault', 0.25433987), ('Burglary', 0.24126232), ('Arson', 0.23754367), ('Shooting', 0.21952921), ('Fighting', 0.20818831), ('Normal_Videos_', 0.20619115), ('Robbery', 0.19256209), ('Abuse', 0.18537642), ('Shoplifting', 0.18290132), ('Stealing', 0.14504659)]
RoadAccidents021_x264: [('RoadAccidents', 0.423267), ('Arrest', 0.31906894), ('Explosion', 0.31079182), ('Burglary', 0.3090273), ('Assault', 0.2845396), ('Vandalism', 0.27957523), ('Arson', 0.26984704), ('Robbery', 0.23964953), ('Shooting', 0.23300377), ('Normal_Videos_', 0.22883077), ('Shoplifting', 0.21764916), ('Abuse', 0.19210523), ('Fighting', 0.19108209), ('Stealing', 0.16376235)]
RoadAccidents022_x264: [('RoadAccidents', 0.5425685), ('Assault', 0.29118598), ('Arrest', 0.28160596), ('Vandalism', 0.27829233), ('Burglary', 0.25999084), ('Arson', 0.24240729), ('Explosion', 0.2393333), ('Fighting', 0.22893786), ('Shooting', 0.22517017), ('Normal_Videos_', 0.22133759), ('Shoplifting', 0.19783069), ('Robbery', 0.19641063), ('Abuse', 0.1920943), ('Stealing', 0.1661697)]
RoadAccidents023_x264: [('RoadAccidents', 0.46315622), ('Explosion', 0.27321535), ('Normal_Videos_', 0.26850057), ('Arson', 0.26765501), ('Vandalism', 0.24295315), ('Arrest', 0.22530106), ('Burglary', 0.2163099), ('Assault', 0.20725644), ('Abuse', 0.1880321), ('Shooting', 0.17861909), ('Shoplifting', 0.16245383), ('Robbery', 0.15612143), ('Fighting', 0.118691936), ('Stealing', 0.11504324)]
RoadAccidents024_x264: [('RoadAccidents', 0.38312244), ('Burglary', 0.2817155), ('Explosion', 0.25810438), ('Assault', 0.2564108), ('Vandalism', 0.2420381), ('Arrest', 0.2308736), ('Arson', 0.22715923), ('Normal_Videos_', 0.21178359), ('Shooting', 0.20216635), ('Abuse', 0.1983774), ('Shoplifting', 0.19727424), ('Robbery', 0.19327882), ('Stealing', 0.17528394), ('Fighting', 0.17228231)]
RoadAccidents025_x264: [('RoadAccidents', 0.44234508), ('Explosion', 0.2462958), ('Shooting', 0.2452612), ('Vandalism', 0.22021513), ('Burglary', 0.21213198), ('Arrest', 0.19835868), ('Stealing', 0.19219196), ('Shoplifting', 0.19211757), ('Normal_Videos_', 0.19111872), ('Robbery', 0.1812733), ('Arson', 0.17247061), ('Assault', 0.16405524), ('Fighting', 0.1515162), ('Abuse', 0.1266666)]
RoadAccidents026_x264: [('RoadAccidents', 0.4125784), ('Explosion', 0.20461492), ('Normal_Videos_', 0.17771475), ('Shooting', 0.17036885), ('Vandalism', 0.15844777), ('Assault', 0.1547625), ('Arson', 0.15231113), ('Burglary', 0.15171662), ('Fighting', 0.14720678), ('Arrest', 0.14123966), ('Shoplifting', 0.12385954), ('Abuse', 0.11426545), ('Stealing', 0.113976926), ('Robbery', 0.11167666)]
RoadAccidents027_x264: [('RoadAccidents', 0.54914504), ('Arrest', 0.3367362), ('Vandalism', 0.3309176), ('Assault', 0.29441148), ('Burglary', 0.28891307), ('Explosion', 0.28338456), ('Shoplifting', 0.27489203), ('Shooting', 0.26803792), ('Fighting', 0.2542487), ('Robbery', 0.2469459), ('Arson', 0.24465267), ('Stealing', 0.2244114), ('Abuse', 0.21903545), ('Normal_Videos_', 0.21107122)]
RoadAccidents028_x264: [('RoadAccidents', 0.45341638), ('Arrest', 0.25137487), ('Explosion', 0.24122608), ('Assault', 0.23901665), ('Normal_Videos_', 0.23842777), ('Burglary', 0.2321243), ('Arson', 0.22736526), ('Shooting', 0.22329135), ('Vandalism', 0.2178083), ('Fighting', 0.20308617), ('Robbery', 0.17240737), ('Shoplifting', 0.16361791), ('Abuse', 0.16157079), ('Stealing', 0.12615038)]
RoadAccidents029_x264: [('RoadAccidents', 0.3713306), ('Assault', 0.23725772), ('Explosion', 0.22137883), ('Vandalism', 0.2113095), ('Burglary', 0.19512127), ('Shooting', 0.17140801), ('Arson', 0.16025777), ('Arrest', 0.15699403), ('Fighting', 0.15368736), ('Robbery', 0.1389533), ('Normal_Videos_', 0.13545978), ('Shoplifting', 0.13406011), ('Stealing', 0.13354239), ('Abuse', 0.10456246)]
RoadAccidents030_x264: [('RoadAccidents', 0.47708952), ('Explosion', 0.23934203), ('Fighting', 0.20333579), ('Vandalism', 0.20264363), ('Burglary', 0.19988532), ('Shoplifting', 0.19983885), ('Arrest', 0.19663937), ('Arson', 0.18828991), ('Robbery', 0.18736914), ('Assault', 0.18101184), ('Normal_Videos_', 0.1691694), ('Shooting', 0.15805629), ('Stealing', 0.15703559), ('Abuse', 0.11918238)]
RoadAccidents031_x264: [('RoadAccidents', 0.43821016), ('Vandalism', 0.26846546), ('Abuse', 0.25594985), ('Shoplifting', 0.2413079), ('Assault', 0.2387183), ('Arson', 0.22989962), ('Shooting', 0.21523632), ('Fighting', 0.20774305), ('Stealing', 0.20226666), ('Normal_Videos_', 0.19909519), ('Burglary', 0.19692948), ('Explosion', 0.19308843), ('Robbery', 0.18988653), ('Arrest', 0.17924601)]
RoadAccidents032_x264: [('RoadAccidents', 0.4604712), ('Burglary', 0.2570815), ('Explosion', 0.25423354), ('Assault', 0.24850947), ('Vandalism', 0.24573466), ('Arson', 0.24154209), ('Arrest', 0.23992006), ('Shoplifting', 0.22739448), ('Shooting', 0.22459617), ('Fighting', 0.22108516), ('Normal_Videos_', 0.18995693), ('Robbery', 0.18600303), ('Abuse', 0.18326515), ('Stealing', 0.17888965)]
RoadAccidents033_x264: [('RoadAccidents', 0.48021218), ('Fighting', 0.24474463), ('Shooting', 0.22597606), ('Assault', 0.21932708), ('Vandalism', 0.20045105), ('Explosion', 0.19726476), ('Stealing', 0.1591661), ('Burglary', 0.1552237), ('Normal_Videos_', 0.15160504), ('Arson', 0.14626023), ('Arrest', 0.14385803), ('Robbery', 0.13899425), ('Shoplifting', 0.13784315), ('Abuse', 0.108619854)]
RoadAccidents034_x264: [('RoadAccidents', 0.41274348), ('Explosion', 0.25099045), ('Shooting', 0.23289207), ('Vandalism', 0.23142575), ('Arrest', 0.21751378), ('Normal_Videos_', 0.2152117), ('Arson', 0.21481505), ('Burglary', 0.20892692), ('Assault', 0.19578435), ('Fighting', 0.18531051), ('Shoplifting', 0.1802783), ('Robbery', 0.17937502), ('Stealing', 0.17619997), ('Abuse', 0.16435096)]
RoadAccidents035_x264: [('RoadAccidents', 0.28504348), ('Vandalism', 0.16673811), ('Arrest', 0.14289607), ('Explosion', 0.14116997), ('Assault', 0.14083876), ('Shooting', 0.11527479), ('Normal_Videos_', 0.11235313), ('Fighting', 0.09480408), ('Burglary', 0.09373784), ('Abuse', 0.09204316), ('Shoplifting', 0.08287419), ('Robbery', 0.071280695), ('Stealing', 0.07030651), ('Arson', 0.064328566)]
RoadAccidents036_x264: [('RoadAccidents', 0.46617615), ('Fighting', 0.34900057), ('Assault', 0.29537523), ('Explosion', 0.25596225), ('Vandalism', 0.24772853), ('Arrest', 0.23688732), ('Abuse', 0.22196758), ('Burglary', 0.20829886), ('Shooting', 0.20561957), ('Normal_Videos_', 0.1999556), ('Arson', 0.19582857), ('Robbery', 0.19505897), ('Shoplifting', 0.16537714), ('Stealing', 0.1416648)]
RoadAccidents037_x264: [('RoadAccidents', 0.48991853), ('Arson', 0.2834857), ('Burglary', 0.2644039), ('Vandalism', 0.2571719), ('Arrest', 0.24580033), ('Shooting', 0.23339355), ('Explosion', 0.21739346), ('Robbery', 0.21704194), ('Assault', 0.21639383), ('Normal_Videos_', 0.2153351), ('Shoplifting', 0.19887215), ('Stealing', 0.17899917), ('Abuse', 0.16960612), ('Fighting', 0.16718677)]
RoadAccidents038_x264: [('RoadAccidents', 0.4547587), ('Vandalism', 0.33677435), ('Robbery', 0.27926725), ('Explosion', 0.27730405), ('Shoplifting', 0.24476781), ('Burglary', 0.2427527), ('Arrest', 0.23518242), ('Shooting', 0.2229545), ('Assault', 0.21856056), ('Stealing', 0.21662489), ('Normal_Videos_', 0.21057194), ('Arson', 0.20776066), ('Abuse', 0.19102398), ('Fighting', 0.14678428)]
RoadAccidents039_x264: [('RoadAccidents', 0.3876055), ('Assault', 0.291588), ('Vandalism', 0.24781194), ('Abuse', 0.24037626), ('Burglary', 0.23538448), ('Arrest', 0.218272), ('Explosion', 0.21231714), ('Shooting', 0.20471138), ('Robbery', 0.20403805), ('Shoplifting', 0.19520135), ('Arson', 0.19130412), ('Fighting', 0.18312961), ('Normal_Videos_', 0.17863181), ('Stealing', 0.15332627)]
RoadAccidents040_x264: [('RoadAccidents', 0.48817378), ('Shooting', 0.26900196), ('Explosion', 0.24734634), ('Normal_Videos_', 0.24063003), ('Burglary', 0.21320073), ('Stealing', 0.20158172), ('Vandalism', 0.2010457), ('Arson', 0.19233266), ('Arrest', 0.19182959), ('Assault', 0.18084314), ('Fighting', 0.18007204), ('Robbery', 0.17115055), ('Shoplifting', 0.16890699), ('Abuse', 0.16352504)]
RoadAccidents041_x264: [('RoadAccidents', 0.51137924), ('Normal_Videos_', 0.184731), ('Shooting', 0.13043354), ('Fighting', 0.08696245), ('Stealing', 0.08255729), ('Vandalism', 0.07550386), ('Arson', 0.073770896), ('Abuse', 0.06317523), ('Assault', 0.052356713), ('Burglary', 0.04308954), ('Explosion', 0.0430013), ('Shoplifting', 0.037697207), ('Robbery', 0.03634691), ('Arrest', 0.024505131)]
RoadAccidents042_x264: [('RoadAccidents', 0.42079288), ('Explosion', 0.30333257), ('Arson', 0.29216945), ('Arrest', 0.21136163), ('Abuse', 0.19689986), ('Vandalism', 0.177161), ('Assault', 0.15719557), ('Normal_Videos_', 0.14244273), ('Shoplifting', 0.14085215), ('Burglary', 0.13966554), ('Robbery', 0.13931161), ('Shooting', 0.13269389), ('Fighting', 0.11019571), ('Stealing', 0.090340614)]
RoadAccidents043_x264: [('RoadAccidents', 0.37827283), ('Fighting', 0.20135874), ('Arrest', 0.18422545), ('Shooting', 0.16854076), ('Explosion', 0.16503212), ('Arson', 0.15119098), ('Assault', 0.14659862), ('Shoplifting', 0.13723414), ('Burglary', 0.12111949), ('Stealing', 0.11737222), ('Vandalism', 0.110167734), ('Normal_Videos_', 0.102691576), ('Robbery', 0.096687526), ('Abuse', 0.055417877)]
RoadAccidents044_x264: [('RoadAccidents', 0.46616077), ('Vandalism', 0.3281296), ('Explosion', 0.27913848), ('Assault', 0.26860666), ('Arrest', 0.24756809), ('Shooting', 0.2383126), ('Normal_Videos_', 0.23247227), ('Fighting', 0.22461706), ('Burglary', 0.22077158), ('Shoplifting', 0.20641044), ('Robbery', 0.19495176), ('Stealing', 0.18064159), ('Abuse', 0.17853414), ('Arson', 0.17199302)]
RoadAccidents046_x264: [('RoadAccidents', 0.45162278), ('Explosion', 0.27968216), ('Arson', 0.2562384), ('Vandalism', 0.25409937), ('Arrest', 0.23531213), ('Burglary', 0.21816084), ('Normal_Videos_', 0.21660477), ('Shoplifting', 0.21435407), ('Robbery', 0.21106885), ('Assault', 0.20046988), ('Shooting', 0.18471996), ('Stealing', 0.1612971), ('Abuse', 0.14883277), ('Fighting', 0.1437583)]
RoadAccidents047_x264: [('RoadAccidents', 0.43976486), ('Explosion', 0.27292982), ('Assault', 0.24105698), ('Fighting', 0.22000733), ('Vandalism', 0.21679659), ('Shooting', 0.18957731), ('Normal_Videos_', 0.189264), ('Burglary', 0.17409152), ('Robbery', 0.17362837), ('Arson', 0.1721986), ('Arrest', 0.14572273), ('Stealing', 0.13296694), ('Abuse', 0.13219278), ('Shoplifting', 0.13148703)]
RoadAccidents048_x264: [('RoadAccidents', 0.4968588), ('Robbery', 0.30718875), ('Arrest', 0.26453626), ('Burglary', 0.25866032), ('Stealing', 0.24814826), ('Vandalism', 0.24106649), ('Explosion', 0.23136815), ('Assault', 0.23115504), ('Shoplifting', 0.22905189), ('Abuse', 0.21200484), ('Arson', 0.19693823), ('Shooting', 0.18607304), ('Fighting', 0.17490089), ('Normal_Videos_', 0.1431659)]
RoadAccidents049_x264: [('Shoplifting', 0.32656816), ('RoadAccidents', 0.21509397), ('Robbery', 0.15720506), ('Burglary', 0.15532225), ('Stealing', 0.13614184), ('Shooting', 0.12116255), ('Vandalism', 0.12012773), ('Explosion', 0.106022365), ('Arrest', 0.09033099), ('Assault', 0.078537256), ('Fighting', 0.068112254), ('Abuse', 0.059591703), ('Normal_Videos_', 0.0512657), ('Arson', 0.023227029)]
RoadAccidents050_x264: [('RoadAccidents', 0.49348912), ('Normal_Videos_', 0.23921615), ('Explosion', 0.23723346), ('Arrest', 0.22846735), ('Shooting', 0.21555534), ('Assault', 0.2084981), ('Vandalism', 0.19418123), ('Fighting', 0.17007832), ('Arson', 0.16887383), ('Burglary', 0.16384327), ('Shoplifting', 0.14562955), ('Abuse', 0.120236784), ('Robbery', 0.11919798), ('Stealing', 0.093198374)]
RoadAccidents051_x264: [('RoadAccidents', 0.48638275), ('Burglary', 0.33734685), ('Vandalism', 0.30320296), ('Assault', 0.2905323), ('Arrest', 0.2708181), ('Shooting', 0.27060646), ('Arson', 0.26891363), ('Shoplifting', 0.26878178), ('Robbery', 0.26387778), ('Abuse', 0.2487866), ('Stealing', 0.2422868), ('Fighting', 0.22062153), ('Explosion', 0.20366055), ('Normal_Videos_', 0.14206113)]
RoadAccidents052_x264: [('RoadAccidents', 0.2982412), ('Assault', 0.19871879), ('Vandalism', 0.19261307), ('Explosion', 0.16677773), ('Burglary', 0.14244406), ('Arrest', 0.14100847), ('Robbery', 0.13295895), ('Shooting', 0.12544005), ('Abuse', 0.116820395), ('Fighting', 0.106058456), ('Normal_Videos_', 0.10242748), ('Arson', 0.09921296), ('Shoplifting', 0.0923247), ('Stealing', 0.07536261)]
RoadAccidents053_x264: [('RoadAccidents', 0.42998415), ('Assault', 0.26190746), ('Vandalism', 0.24509302), ('Explosion', 0.22874877), ('Burglary', 0.2096552), ('Arrest', 0.19863701), ('Abuse', 0.1887213), ('Shooting', 0.17403837), ('Normal_Videos_', 0.16487275), ('Robbery', 0.15626222), ('Arson', 0.13483569), ('Shoplifting', 0.12679814), ('Stealing', 0.12267404), ('Fighting', 0.11324713)]
RoadAccidents054_x264: [('RoadAccidents', 0.4682148), ('Vandalism', 0.25024217), ('Burglary', 0.22220701), ('Explosion', 0.21429396), ('Shoplifting', 0.2050508), ('Normal_Videos_', 0.19717515), ('Shooting', 0.18885347), ('Arrest', 0.18817547), ('Arson', 0.17699291), ('Assault', 0.17632179), ('Robbery', 0.16120827), ('Stealing', 0.14183941), ('Fighting', 0.11779405), ('Abuse', 0.10528976)]
RoadAccidents055_x264: [('RoadAccidents', 0.399498), ('Normal_Videos_', 0.2174904), ('Shooting', 0.20672706), ('Arrest', 0.20615464), ('Explosion', 0.2004245), ('Assault', 0.19004029), ('Arson', 0.16965792), ('Fighting', 0.1675337), ('Robbery', 0.16662951), ('Burglary', 0.16271588), ('Vandalism', 0.16222619), ('Stealing', 0.15759161), ('Shoplifting', 0.10825713), ('Abuse', 0.085738644)]
RoadAccidents056_x264: [('RoadAccidents', 0.4141356), ('Arrest', 0.3475385), ('Assault', 0.27754906), ('Burglary', 0.2509171), ('Vandalism', 0.24428366), ('Explosion', 0.23406321), ('Robbery', 0.19055463), ('Arson', 0.185624), ('Shoplifting', 0.18350351), ('Shooting', 0.15633664), ('Normal_Videos_', 0.1532996), ('Abuse', 0.14160994), ('Stealing', 0.121210806), ('Fighting', 0.11398205)]
RoadAccidents057_x264: [('RoadAccidents', 0.24384296), ('Explosion', 0.1721461), ('Vandalism', 0.13240887), ('Arrest', 0.12959526), ('Assault', 0.10914663), ('Shoplifting', 0.104636736), ('Fighting', 0.10335891), ('Shooting', 0.10139703), ('Arson', 0.09548198), ('Burglary', 0.09546118), ('Stealing', 0.07201107), ('Abuse', 0.07144709), ('Robbery', 0.059940826), ('Normal_Videos_', 0.054806918)]
RoadAccidents058_x264: [('Vandalism', 0.36280537), ('RoadAccidents', 0.34319687), ('Burglary', 0.31472594), ('Explosion', 0.30450153), ('Assault', 0.2699989), ('Robbery', 0.25418743), ('Shoplifting', 0.23830017), ('Shooting', 0.23636511), ('Arrest', 0.2201801), ('Abuse', 0.20962384), ('Arson', 0.2059133), ('Normal_Videos_', 0.16795263), ('Stealing', 0.1514178), ('Fighting', 0.14814375)]
RoadAccidents059_x264: [('RoadAccidents', 0.45525494), ('Vandalism', 0.24639592), ('Assault', 0.23933163), ('Explosion', 0.1970086), ('Burglary', 0.17675737), ('Arrest', 0.16968289), ('Shooting', 0.16820775), ('Normal_Videos_', 0.16403544), ('Robbery', 0.15652199), ('Arson', 0.15165436), ('Abuse', 0.1321328), ('Fighting', 0.118979916), ('Shoplifting', 0.11760692), ('Stealing', 0.0999399)]
RoadAccidents060_x264: [('RoadAccidents', 0.5647466), ('Explosion', 0.23769206), ('Shooting', 0.23602328), ('Normal_Videos_', 0.22826645), ('Assault', 0.22292987), ('Burglary', 0.21795997), ('Arrest', 0.21021654), ('Vandalism', 0.2012453), ('Shoplifting', 0.19887403), ('Arson', 0.1962641), ('Fighting', 0.18871), ('Abuse', 0.17816423), ('Stealing', 0.16677128), ('Robbery', 0.15544803)]
RoadAccidents061_x264: [('RoadAccidents', 0.41827905), ('Normal_Videos_', 0.20405476), ('Explosion', 0.1795238), ('Arrest', 0.17189302), ('Burglary', 0.1544474), ('Shooting', 0.15405852), ('Robbery', 0.1471521), ('Stealing', 0.14703381), ('Fighting', 0.13705626), ('Assault', 0.13311511), ('Vandalism', 0.124974005), ('Shoplifting', 0.106393725), ('Arson', 0.10096778), ('Abuse', 0.08444719)]
RoadAccidents062_x264: [('RoadAccidents', 0.43631616), ('Explosion', 0.2418511), ('Arrest', 0.2322173), ('Vandalism', 0.21668214), ('Arson', 0.20356336), ('Burglary', 0.20320034), ('Shoplifting', 0.200335), ('Normal_Videos_', 0.19946644), ('Robbery', 0.18726875), ('Assault', 0.18010974), ('Stealing', 0.17806384), ('Shooting', 0.17176616), ('Fighting', 0.15654315), ('Abuse', 0.12513533)]
