RoadAccidents055: [('Road Accidents', 0.9256828), ('Burglary', 0.9053169), ('Explosion', 0.901189), ('Assault', 0.873768), ('Abuse', 0.8696256), ('Normal Videos', 0.866782), ('Arson', 0.8640655), ('Shooting', 0.8599095), ('Fighting', 0.85452497), ('Arrest', 0.85448164), ('Vandalism', 0.8492813), ('Robbery', 0.842636), ('Stealing', 0.83714885), ('Shoplifting', 0.73998857)]
RoadAccidents019: [('Road Accidents', 0.8690008), ('Explosion', 0.8521433), ('Burglary', 0.8458556), ('Fighting', 0.8342706), ('Normal Videos', 0.8315667), ('Vandalism', 0.82611763), ('Stealing', 0.82450545), ('Abuse', 0.8239133), ('Robbery', 0.82310706), ('Shooting', 0.8177113), ('Assault', 0.812219), ('Arrest', 0.8106003), ('Shoplifting', 0.8041961), ('Arson', 0.7998079)]
RoadAccidents112: [('Burglary', 0.85859776), ('Explosion', 0.8443445), ('Road Accidents', 0.8375879), ('Normal Videos', 0.8262403), ('Vandalism', 0.81835306), ('Fighting', 0.813555), ('Shooting', 0.81196976), ('Abuse', 0.81181294), ('Assault', 0.8054291), ('Stealing', 0.8022269), ('Robbery', 0.80168545), ('Arrest', 0.8002883), ('Arson', 0.8001339), ('Shoplifting', 0.7102125)]
RoadAccidents129: [('Explosion', 0.9185077), ('Assault', 0.90248936), ('Shooting', 0.89625394), ('Stealing', 0.89471126), ('Abuse', 0.893586), ('Arrest', 0.8934489), ('Fighting', 0.89343494), ('Normal Videos', 0.8910094), ('Burglary', 0.8784412), ('Road Accidents', 0.87046206), ('Arson', 0.84302473), ('Robbery', 0.838703), ('Vandalism', 0.83048165), ('Shoplifting', 0.71283436)]
RoadAccidents122: [('Explosion', 0.8900531), ('Burglary', 0.87572175), ('Road Accidents', 0.8556748), ('Fighting', 0.85130733), ('Normal Videos', 0.8506962), ('Assault', 0.8506856), ('Shooting', 0.8481289), ('Abuse', 0.8456607), ('Arrest', 0.842118), ('Stealing', 0.83441037), ('Arson', 0.82461727), ('Vandalism', 0.8229402), ('Robbery', 0.8039798), ('Shoplifting', 0.7232818)]
RoadAccidents016: [('Normal Videos', 0.88339704), ('Explosion', 0.8779691), ('Burglary', 0.8666509), ('Road Accidents', 0.86316365), ('Fighting', 0.85130274), ('Shooting', 0.84930676), ('Assault', 0.8424173), ('Abuse', 0.84107625), ('Vandalism', 0.83618623), ('Arrest', 0.8318256), ('Stealing', 0.8314556), ('Arson', 0.8189453), ('Robbery', 0.81115735), ('Shoplifting', 0.76100004)]
RoadAccidents051: [('Explosion', 0.90108633), ('Fighting', 0.89691645), ('Stealing', 0.8903495), ('Normal Videos', 0.8901252), ('Abuse', 0.88639045), ('Assault', 0.8836592), ('Shooting', 0.8819871), ('Arrest', 0.8762233), ('Road Accidents', 0.87582207), ('Burglary', 0.84763515), ('Robbery', 0.8394543), ('Vandalism', 0.83379024), ('Arson', 0.8214083), ('Shoplifting', 0.8058199)]
RoadAccidents054: [('Explosion', 0.94025445), ('Assault', 0.92336816), ('Shooting', 0.9183219), ('Abuse', 0.9179088), ('Fighting', 0.91618013), ('Arrest', 0.91447806), ('Stealing', 0.91004556), ('Normal Videos', 0.894909), ('Road Accidents', 0.8851729), ('Burglary', 0.8403816), ('Robbery', 0.8392079), ('Arson', 0.8300917), ('Vandalism', 0.8155861), ('Shoplifting', 0.73003906)]
RoadAccidents117: [('Explosion', 0.89964), ('Normal Videos', 0.87921095), ('Fighting', 0.878352), ('Assault', 0.8752302), ('Abuse', 0.8746729), ('Shooting', 0.87231547), ('Road Accidents', 0.8665036), ('Burglary', 0.86482036), ('Arrest', 0.8632488), ('Stealing', 0.8594394), ('Arson', 0.8418025), ('Vandalism', 0.8288493), ('Robbery', 0.823315), ('Shoplifting', 0.740252)]
RoadAccidents099: [('Burglary', 0.863374), ('Road Accidents', 0.8411434), ('Explosion', 0.8403723), ('Fighting', 0.8236057), ('Robbery', 0.82354546), ('Shooting', 0.8234427), ('Vandalism', 0.82287884), ('Normal Videos', 0.82084215), ('Abuse', 0.8151067), ('Arson', 0.8106544), ('Assault', 0.8103491), ('Arrest', 0.8061633), ('Stealing', 0.80565697), ('Shoplifting', 0.73308265)]
RoadAccidents073: [('Explosion', 0.93667436), ('Abuse', 0.9341221), ('Fighting', 0.92847335), ('Assault', 0.9256612), ('Shooting', 0.91678345), ('Stealing', 0.913489), ('Road Accidents', 0.9095714), ('Arrest', 0.9089894), ('Normal Videos', 0.90010655), ('Robbery', 0.87433875), ('Burglary', 0.86999863), ('Vandalism', 0.8632638), ('Arson', 0.8542609), ('Shoplifting', 0.77601564)]
RoadAccidents020: [('Explosion', 0.86553204), ('Fighting', 0.860438), ('Normal Videos', 0.8589137), ('Shooting', 0.8536469), ('Road Accidents', 0.85287607), ('Abuse', 0.84968925), ('Assault', 0.84692365), ('Stealing', 0.8392272), ('Arrest', 0.836813), ('Burglary', 0.83481395), ('Vandalism', 0.8302987), ('Arson', 0.8118524), ('Robbery', 0.81115854), ('Shoplifting', 0.73115706)]
RoadAccidents078: [('Explosion', 0.9209557), ('Assault', 0.89864326), ('Fighting', 0.89434314), ('Abuse', 0.89152074), ('Shooting', 0.8878614), ('Arrest', 0.8853252), ('Normal Videos', 0.88129187), ('Burglary', 0.8809974), ('Stealing', 0.872576), ('Road Accidents', 0.87243843), ('Arson', 0.8524202), ('Vandalism', 0.8359028), ('Robbery', 0.8260441), ('Shoplifting', 0.733829)]
RoadAccidents084: [('Normal Videos', 0.8994863), ('Shooting', 0.8951991), ('Fighting', 0.8922864), ('Explosion', 0.8919548), ('Abuse', 0.8910988), ('Assault', 0.8855896), ('Stealing', 0.8808182), ('Arrest', 0.87570095), ('Road Accidents', 0.8726938), ('Robbery', 0.8300427), ('Burglary', 0.82770044), ('Vandalism', 0.81088334), ('Arson', 0.80999655), ('Shoplifting', 0.72255975)]
RoadAccidents139: [('Explosion', 0.8977145), ('Fighting', 0.89502597), ('Assault', 0.88913524), ('Abuse', 0.88748264), ('Shooting', 0.8867941), ('Normal Videos', 0.8826452), ('Stealing', 0.87998545), ('Arrest', 0.87865484), ('Burglary', 0.86850435), ('Road Accidents', 0.8664968), ('Vandalism', 0.8470283), ('Arson', 0.83537024), ('Robbery', 0.827688), ('Shoplifting', 0.7832202)]
RoadAccidents085: [('Explosion', 0.94025445), ('Assault', 0.92336816), ('Abuse', 0.9179088), ('Road Accidents', 0.917533), ('Shooting', 0.9172449), ('Fighting', 0.91618013), ('Arrest', 0.91447806), ('Stealing', 0.91004556), ('Normal Videos', 0.8994863), ('Burglary', 0.87311786), ('Robbery', 0.8400951), ('Vandalism', 0.83884025), ('Arson', 0.8300917), ('Shoplifting', 0.7817216)]
RoadAccidents044: [('Explosion', 0.9296478), ('Fighting', 0.91853344), ('Assault', 0.9125632), ('Shooting', 0.9115161), ('Abuse', 0.9107932), ('Normal Videos', 0.90469086), ('Arrest', 0.90144825), ('Stealing', 0.89532065), ('Road Accidents', 0.88034654), ('Burglary', 0.8553536), ('Robbery', 0.83612114), ('Arson', 0.8359077), ('Vandalism', 0.8352607), ('Shoplifting', 0.7244773)]
RoadAccidents063: [('Fighting', 0.92574155), ('Assault', 0.92514485), ('Explosion', 0.9238245), ('Abuse', 0.9217767), ('Shooting', 0.92004573), ('Stealing', 0.92002577), ('Arrest', 0.91741073), ('Normal Videos', 0.9010777), ('Road Accidents', 0.8756516), ('Burglary', 0.86841357), ('Robbery', 0.8492279), ('Arson', 0.8427543), ('Vandalism', 0.83594906), ('Shoplifting', 0.7951292)]
RoadAccidents034: [('Explosion', 0.90565133), ('Fighting', 0.88896), ('Assault', 0.8845575), ('Abuse', 0.8830439), ('Shooting', 0.8804276), ('Road Accidents', 0.8794448), ('Normal Videos', 0.8758714), ('Arrest', 0.87356305), ('Stealing', 0.8683588), ('Burglary', 0.8646122), ('Vandalism', 0.838886), ('Arson', 0.8320867), ('Robbery', 0.8174034), ('Shoplifting', 0.7463606)]
RoadAccidents049: [('Explosion', 0.926371), ('Assault', 0.9123079), ('Fighting', 0.9042978), ('Abuse', 0.9014185), ('Shooting', 0.900539), ('Arrest', 0.8996531), ('Burglary', 0.8957076), ('Normal Videos', 0.89269775), ('Stealing', 0.88754165), ('Road Accidents', 0.88075817), ('Robbery', 0.8520286), ('Arson', 0.84307384), ('Vandalism', 0.8242276), ('Shoplifting', 0.7764922)]
RoadAccidents024: [('Explosion', 0.94025445), ('Assault', 0.92336816), ('Abuse', 0.9179088), ('Shooting', 0.9172449), ('Fighting', 0.91618013), ('Arrest', 0.91447806), ('Stealing', 0.91004556), ('Normal Videos', 0.894909), ('Road Accidents', 0.8806326), ('Burglary', 0.87572175), ('Robbery', 0.8392079), ('Vandalism', 0.8375567), ('Arson', 0.8300917), ('Shoplifting', 0.7589689)]
RoadAccidents140: [('Explosion', 0.9413464), ('Assault', 0.9364947), ('Fighting', 0.9257556), ('Abuse', 0.9241687), ('Shooting', 0.92405427), ('Arrest', 0.9226272), ('Stealing', 0.90728724), ('Normal Videos', 0.9034059), ('Road Accidents', 0.8770479), ('Burglary', 0.8656963), ('Arson', 0.84713835), ('Robbery', 0.8321246), ('Vandalism', 0.8207207), ('Shoplifting', 0.7123021)]
RoadAccidents125: [('Explosion', 0.93229103), ('Assault', 0.9272608), ('Shooting', 0.9208895), ('Abuse', 0.9204332), ('Fighting', 0.9180247), ('Normal Videos', 0.9147258), ('Arrest', 0.9136374), ('Stealing', 0.90988076), ('Road Accidents', 0.8876202), ('Burglary', 0.88241804), ('Arson', 0.8525766), ('Vandalism', 0.84273756), ('Robbery', 0.8357331), ('Shoplifting', 0.753983)]
RoadAccidents041: [('Road Accidents', 0.87253463), ('Burglary', 0.8550198), ('Vandalism', 0.8471461), ('Explosion', 0.84122396), ('Assault', 0.80422974), ('Abuse', 0.80421954), ('Arson', 0.8028974), ('Normal Videos', 0.8027425), ('Robbery', 0.79824793), ('Shooting', 0.7961472), ('Fighting', 0.7960442), ('Arrest', 0.7888934), ('Stealing', 0.7751656), ('Shoplifting', 0.75701725)]
Arrest023: [('Explosion', 0.8973882), ('Burglary', 0.878585), ('Road Accidents', 0.86823463), ('Assault', 0.86370975), ('Fighting', 0.8625933), ('Shooting', 0.8594097), ('Normal Videos', 0.8568639), ('Abuse', 0.85324275), ('Arrest', 0.8519927), ('Stealing', 0.84339607), ('Arson', 0.8347727), ('Vandalism', 0.8322655), ('Robbery', 0.81981313), ('Shoplifting', 0.7484536)]
Arrest048: [('Explosion', 0.9072823), ('Fighting', 0.88779676), ('Abuse', 0.8824681), ('Normal Videos', 0.8806569), ('Assault', 0.8781984), ('Stealing', 0.87725675), ('Arrest', 0.87668353), ('Shooting', 0.87543434), ('Burglary', 0.8731972), ('Road Accidents', 0.8619517), ('Vandalism', 0.8507372), ('Robbery', 0.8416376), ('Arson', 0.83076894), ('Shoplifting', 0.79257286)]
Arrest036: [('Assault', 0.94118315), ('Arrest', 0.936262), ('Abuse', 0.9305639), ('Fighting', 0.9302364), ('Shooting', 0.9293348), ('Explosion', 0.9277889), ('Stealing', 0.9271533), ('Normal Videos', 0.9088916), ('Road Accidents', 0.85794526), ('Burglary', 0.8529645), ('Robbery', 0.84856373), ('Vandalism', 0.8411493), ('Arson', 0.8358449), ('Shoplifting', 0.75784385)]
Arrest009: [('Explosion', 0.913249), ('Assault', 0.8940038), ('Shooting', 0.8921046), ('Fighting', 0.8891475), ('Normal Videos', 0.8874258), ('Abuse', 0.883708), ('Arrest', 0.88269365), ('Stealing', 0.87067705), ('Burglary', 0.8681117), ('Road Accidents', 0.86059844), ('Robbery', 0.8297757), ('Arson', 0.8285118), ('Vandalism', 0.82636124), ('Shoplifting', 0.7370683)]
Arrest051: [('Assault', 0.95735705), ('Explosion', 0.95567167), ('Fighting', 0.95105326), ('Abuse', 0.95000464), ('Shooting', 0.946549), ('Arrest', 0.9394593), ('Stealing', 0.9296697), ('Normal Videos', 0.9197768), ('Road Accidents', 0.88922715), ('Burglary', 0.882948), ('Robbery', 0.84831536), ('Arson', 0.8469647), ('Vandalism', 0.84234595), ('Shoplifting', 0.8184273)]
Arrest032: [('Fighting', 0.92737406), ('Stealing', 0.9219004), ('Abuse', 0.92153615), ('Explosion', 0.9212331), ('Assault', 0.9169568), ('Arrest', 0.914188), ('Shooting', 0.91356987), ('Normal Videos', 0.9050268), ('Burglary', 0.89574265), ('Road Accidents', 0.8616451), ('Robbery', 0.86020184), ('Vandalism', 0.8552177), ('Arson', 0.8393109), ('Shoplifting', 0.77668023)]
Arrest049: [('Assault', 0.92991966), ('Shooting', 0.9222735), ('Explosion', 0.919817), ('Fighting', 0.9191797), ('Abuse', 0.9149696), ('Arrest', 0.9120588), ('Stealing', 0.8982048), ('Normal Videos', 0.89207727), ('Road Accidents', 0.87247634), ('Burglary', 0.87122977), ('Arson', 0.8443626), ('Robbery', 0.83653486), ('Vandalism', 0.8298579), ('Shoplifting', 0.78503025)]
Arrest027: [('Fighting', 0.9206519), ('Abuse', 0.9188822), ('Shooting', 0.91775143), ('Assault', 0.91541183), ('Stealing', 0.914088), ('Normal Videos', 0.90921235), ('Explosion', 0.9069834), ('Arrest', 0.9040291), ('Road Accidents', 0.9039655), ('Robbery', 0.8791717), ('Burglary', 0.87673837), ('Vandalism', 0.87305725), ('Arson', 0.8665034), ('Shoplifting', 0.792142)]
Arrest020: [('Explosion', 0.9360236), ('Assault', 0.926401), ('Fighting', 0.92003775), ('Shooting', 0.9174032), ('Abuse', 0.91577), ('Arrest', 0.9130989), ('Normal Videos', 0.9082058), ('Stealing', 0.90478146), ('Road Accidents', 0.881423), ('Burglary', 0.86203325), ('Robbery', 0.84249943), ('Arson', 0.8400479), ('Vandalism', 0.83821356), ('Shoplifting', 0.7951292)]
Arrest005: [('Explosion', 0.9197837), ('Assault', 0.9100657), ('Fighting', 0.90958667), ('Abuse', 0.90599656), ('Shooting', 0.9057362), ('Arrest', 0.89986694), ('Stealing', 0.89135945), ('Burglary', 0.89122766), ('Normal Videos', 0.8881653), ('Road Accidents', 0.8772944), ('Robbery', 0.86152637), ('Arson', 0.85100615), ('Vandalism', 0.8429178), ('Shoplifting', 0.7834916)]
Arrest039: [('Assault', 0.9361315), ('Explosion', 0.93362594), ('Shooting', 0.92364585), ('Arrest', 0.92151546), ('Abuse', 0.9213056), ('Fighting', 0.9161326), ('Stealing', 0.9055035), ('Normal Videos', 0.8964574), ('Burglary', 0.8912966), ('Road Accidents', 0.8777288), ('Arson', 0.8488418), ('Vandalism', 0.8382305), ('Robbery', 0.8380375), ('Shoplifting', 0.76619184)]
Arrest012: [('Explosion', 0.9408916), ('Abuse', 0.9374536), ('Fighting', 0.9357128), ('Assault', 0.9310132), ('Shooting', 0.9283128), ('Stealing', 0.92571986), ('Normal Videos', 0.92317206), ('Arrest', 0.9198724), ('Road Accidents', 0.8838302), ('Burglary', 0.86589813), ('Robbery', 0.8574273), ('Vandalism', 0.8465836), ('Arson', 0.83886296), ('Shoplifting', 0.76398116)]
Arrest011: [('Explosion', 0.90108633), ('Fighting', 0.89691645), ('Stealing', 0.8903495), ('Abuse', 0.88639045), ('Assault', 0.8836592), ('Shooting', 0.8819871), ('Normal Videos', 0.8806607), ('Arrest', 0.8762233), ('Burglary', 0.8557668), ('Road Accidents', 0.8486357), ('Vandalism', 0.8346802), ('Robbery', 0.83039415), ('Arson', 0.8215149), ('Shoplifting', 0.7660366)]
Arrest010: [('Shooting', 0.9100522), ('Fighting', 0.90779984), ('Abuse', 0.9076946), ('Assault', 0.90439963), ('Explosion', 0.901321), ('Stealing', 0.8987245), ('Arrest', 0.8970212), ('Normal Videos', 0.8954897), ('Road Accidents', 0.894843), ('Arson', 0.86646736), ('Robbery', 0.86427677), ('Burglary', 0.8640077), ('Vandalism', 0.8495469), ('Shoplifting', 0.7846048)]
Arrest024: [('Road Accidents', 0.9264959), ('Explosion', 0.89910793), ('Fighting', 0.89601177), ('Shooting', 0.8946845), ('Abuse', 0.89363134), ('Assault', 0.8918303), ('Normal Videos', 0.88616973), ('Arrest', 0.8842659), ('Burglary', 0.884196), ('Stealing', 0.8816503), ('Arson', 0.8563075), ('Robbery', 0.8550758), ('Vandalism', 0.84653795), ('Shoplifting', 0.7839664)]
Arrest042: [('Explosion', 0.87785757), ('Fighting', 0.876257), ('Normal Videos', 0.867022), ('Stealing', 0.86282635), ('Shooting', 0.85894626), ('Abuse', 0.8580638), ('Burglary', 0.8508032), ('Assault', 0.8498542), ('Road Accidents', 0.8491598), ('Robbery', 0.84712225), ('Arrest', 0.84198034), ('Vandalism', 0.83511704), ('Arson', 0.827602), ('Shoplifting', 0.78718215)]
Arrest017: [('Road Accidents', 0.9275713), ('Explosion', 0.92114556), ('Fighting', 0.9206519), ('Abuse', 0.9188822), ('Shooting', 0.91775143), ('Assault', 0.9161978), ('Stealing', 0.914088), ('Normal Videos', 0.9087545), ('Arrest', 0.9040291), ('Burglary', 0.88761723), ('Arson', 0.8760883), ('Robbery', 0.8476354), ('Vandalism', 0.84295386), ('Shoplifting', 0.8060523)]
Arrest007: [('Shooting', 0.90035903), ('Explosion', 0.90028894), ('Normal Videos', 0.88924193), ('Fighting', 0.889066), ('Assault', 0.8864824), ('Abuse', 0.8836138), ('Burglary', 0.8824734), ('Road Accidents', 0.88147384), ('Arrest', 0.8787027), ('Stealing', 0.86976135), ('Arson', 0.83928597), ('Vandalism', 0.8258606), ('Robbery', 0.8257179), ('Shoplifting', 0.7646789)]
Arrest037: [('Explosion', 0.9230417), ('Assault', 0.90167546), ('Fighting', 0.90065175), ('Shooting', 0.8982115), ('Abuse', 0.89452076), ('Arrest', 0.8912217), ('Normal Videos', 0.8883774), ('Stealing', 0.88690776), ('Road Accidents', 0.8774107), ('Burglary', 0.87643254), ('Arson', 0.83255184), ('Vandalism', 0.82605183), ('Robbery', 0.8248669), ('Shoplifting', 0.7533623)]
Arrest003: [('Assault', 0.9468621), ('Fighting', 0.94200647), ('Explosion', 0.94042313), ('Shooting', 0.9381522), ('Abuse', 0.93715286), ('Arrest', 0.93542814), ('Stealing', 0.9231292), ('Normal Videos', 0.9091146), ('Road Accidents', 0.8638117), ('Burglary', 0.8631972), ('Vandalism', 0.83755344), ('Robbery', 0.8369552), ('Arson', 0.83291954), ('Shoplifting', 0.76750153)]
Arrest026: [('Burglary', 0.8448969), ('Road Accidents', 0.83137965), ('Vandalism', 0.8202697), ('Explosion', 0.81771934), ('Normal Videos', 0.81092215), ('Robbery', 0.7995539), ('Fighting', 0.79545724), ('Shooting', 0.79484016), ('Abuse', 0.7904673), ('Assault', 0.7888223), ('Arrest', 0.78763354), ('Shoplifting', 0.78279626), ('Arson', 0.7814984), ('Stealing', 0.77714807)]
Arrest028: [('Explosion', 0.9106884), ('Shooting', 0.9070748), ('Assault', 0.90443116), ('Normal Videos', 0.89945424), ('Fighting', 0.8958051), ('Arrest', 0.89397615), ('Abuse', 0.89330107), ('Road Accidents', 0.885762), ('Burglary', 0.8688682), ('Stealing', 0.8667155), ('Robbery', 0.8308755), ('Arson', 0.8268696), ('Vandalism', 0.8268051), ('Shoplifting', 0.78700936)]
Arrest014: [('Explosion', 0.92206514), ('Assault', 0.91473395), ('Fighting', 0.9030137), ('Shooting', 0.90295595), ('Abuse', 0.9012866), ('Arrest', 0.8998123), ('Normal Videos', 0.8874258), ('Stealing', 0.8787236), ('Road Accidents', 0.8716535), ('Burglary', 0.8681117), ('Arson', 0.8428807), ('Robbery', 0.8297757), ('Vandalism', 0.82363296), ('Shoplifting', 0.7557357)]
Arrest001: [('Explosion', 0.9108512), ('Fighting', 0.90896076), ('Assault', 0.9076545), ('Shooting', 0.9072779), ('Abuse', 0.90459776), ('Arrest', 0.8964973), ('Stealing', 0.8912616), ('Normal Videos', 0.88589805), ('Burglary', 0.86264366), ('Road Accidents', 0.86142135), ('Arson', 0.8324771), ('Robbery', 0.82811666), ('Vandalism', 0.8198848), ('Shoplifting', 0.73914194)]
Arrest050: [('Shooting', 0.92553484), ('Abuse', 0.9248948), ('Fighting', 0.92401886), ('Assault', 0.9238632), ('Explosion', 0.92295396), ('Stealing', 0.9162172), ('Arrest', 0.9133598), ('Normal Videos', 0.9125949), ('Road Accidents', 0.88143355), ('Burglary', 0.8608212), ('Robbery', 0.85949624), ('Arson', 0.8464903), ('Vandalism', 0.8444006), ('Shoplifting', 0.7951292)]
Arrest002: [('Fighting', 0.93747354), ('Abuse', 0.93255055), ('Explosion', 0.93130815), ('Assault', 0.92888564), ('Shooting', 0.9274964), ('Stealing', 0.92662597), ('Arrest', 0.9205069), ('Normal Videos', 0.9033228), ('Road Accidents', 0.8624566), ('Burglary', 0.8620558), ('Robbery', 0.8549558), ('Arson', 0.8431716), ('Vandalism', 0.8131937), ('Shoplifting', 0.7671723)]
Arrest013: [('Explosion', 0.87486786), ('Burglary', 0.86134565), ('Normal Videos', 0.8467798), ('Road Accidents', 0.84305793), ('Fighting', 0.83706), ('Abuse', 0.83676696), ('Stealing', 0.83619213), ('Assault', 0.8329855), ('Shooting', 0.83156824), ('Arrest', 0.8279773), ('Vandalism', 0.8188302), ('Arson', 0.81187457), ('Robbery', 0.8084682), ('Shoplifting', 0.7038218)]
Arrest041: [('Assault', 0.9475009), ('Explosion', 0.9380321), ('Abuse', 0.93774515), ('Arrest', 0.93585527), ('Shooting', 0.9334574), ('Fighting', 0.9295889), ('Stealing', 0.9295055), ('Normal Videos', 0.9188194), ('Burglary', 0.8757796), ('Road Accidents', 0.8676338), ('Robbery', 0.8557377), ('Arson', 0.8423815), ('Vandalism', 0.8358896), ('Shoplifting', 0.76064605)]
Arrest033: [('Explosion', 0.94097257), ('Abuse', 0.93423015), ('Assault', 0.92998725), ('Normal Videos', 0.9279232), ('Shooting', 0.9242457), ('Fighting', 0.9237994), ('Arrest', 0.92140853), ('Stealing', 0.9183444), ('Road Accidents', 0.885188), ('Burglary', 0.8661046), ('Arson', 0.8576729), ('Vandalism', 0.8542526), ('Robbery', 0.8532319), ('Shoplifting', 0.8017906)]
Arrest029: [('Assault', 0.95191914), ('Abuse', 0.9472775), ('Shooting', 0.94670904), ('Fighting', 0.9466433), ('Explosion', 0.9428904), ('Arrest', 0.9425577), ('Stealing', 0.93130803), ('Normal Videos', 0.9279232), ('Road Accidents', 0.885188), ('Burglary', 0.8719733), ('Robbery', 0.8621348), ('Arson', 0.8515316), ('Vandalism', 0.8493655), ('Shoplifting', 0.77284575)]
Arrest022: [('Explosion', 0.8816253), ('Burglary', 0.8581327), ('Fighting', 0.8518877), ('Road Accidents', 0.8507559), ('Normal Videos', 0.8500645), ('Abuse', 0.8464633), ('Assault', 0.8462509), ('Shooting', 0.8439194), ('Stealing', 0.8376398), ('Arrest', 0.83664274), ('Vandalism', 0.8359173), ('Arson', 0.81449765), ('Robbery', 0.81356895), ('Shoplifting', 0.73823696)]
Arrest030: [('Explosion', 0.92775416), ('Assault', 0.9149888), ('Fighting', 0.91441226), ('Abuse', 0.9133462), ('Shooting', 0.90616834), ('Arrest', 0.90455127), ('Stealing', 0.9015795), ('Normal Videos', 0.89803267), ('Burglary', 0.8839735), ('Road Accidents', 0.8703875), ('Vandalism', 0.8534043), ('Arson', 0.8363478), ('Robbery', 0.83604395), ('Shoplifting', 0.7548268)]
Arrest044: [('Explosion', 0.9119421), ('Shooting', 0.90971), ('Fighting', 0.9072727), ('Normal Videos', 0.90706), ('Assault', 0.9054891), ('Abuse', 0.90512335), ('Arrest', 0.89814466), ('Stealing', 0.8903611), ('Burglary', 0.8753381), ('Road Accidents', 0.8677931), ('Arson', 0.83800584), ('Robbery', 0.83773327), ('Vandalism', 0.8310235), ('Shoplifting', 0.73103166)]
Arrest006: [('Burglary', 0.8798684), ('Road Accidents', 0.86688954), ('Explosion', 0.85842645), ('Assault', 0.834008), ('Shooting', 0.830871), ('Fighting', 0.8275331), ('Normal Videos', 0.8240936), ('Abuse', 0.82342577), ('Vandalism', 0.8221668), ('Arrest', 0.82075113), ('Arson', 0.812835), ('Stealing', 0.80133927), ('Robbery', 0.78962815), ('Shoplifting', 0.72786564)]
Arrest040: [('Explosion', 0.8633082), ('Road Accidents', 0.8473947), ('Normal Videos', 0.84302425), ('Burglary', 0.8416903), ('Fighting', 0.82004166), ('Shooting', 0.81818163), ('Abuse', 0.8144466), ('Assault', 0.81368434), ('Stealing', 0.8094759), ('Arrest', 0.80941737), ('Vandalism', 0.8053106), ('Arson', 0.7935231), ('Robbery', 0.780025), ('Shoplifting', 0.68871933)]
Arrest004: [('Road Accidents', 0.8978539), ('Burglary', 0.8664362), ('Explosion', 0.86020714), ('Vandalism', 0.84204006), ('Arson', 0.83464044), ('Abuse', 0.8268678), ('Assault', 0.82276624), ('Shooting', 0.81517655), ('Normal Videos', 0.8132049), ('Fighting', 0.8106859), ('Robbery', 0.8088803), ('Arrest', 0.80358374), ('Stealing', 0.7941078), ('Shoplifting', 0.7826353)]
Arrest047: [('Explosion', 0.94267416), ('Assault', 0.9415411), ('Shooting', 0.9331734), ('Fighting', 0.93292004), ('Abuse', 0.9313035), ('Arrest', 0.93036723), ('Stealing', 0.9151875), ('Normal Videos', 0.9068928), ('Burglary', 0.8977355), ('Road Accidents', 0.8872198), ('Arson', 0.8481421), ('Vandalism', 0.83599126), ('Robbery', 0.8332901), ('Shoplifting', 0.7608675)]
Arrest031: [('Assault', 0.9502982), ('Fighting', 0.9435736), ('Explosion', 0.9415597), ('Abuse', 0.93987525), ('Shooting', 0.9388063), ('Arrest', 0.9353162), ('Stealing', 0.9301264), ('Normal Videos', 0.90575874), ('Burglary', 0.87299144), ('Road Accidents', 0.8716643), ('Robbery', 0.851932), ('Arson', 0.8467777), ('Vandalism', 0.83016235), ('Shoplifting', 0.7631875)]
Arrest016: [('Explosion', 0.9076188), ('Burglary', 0.8901063), ('Fighting', 0.88931835), ('Shooting', 0.88628554), ('Assault', 0.8855542), ('Abuse', 0.8847201), ('Normal Videos', 0.8825017), ('Arrest', 0.8794701), ('Road Accidents', 0.8744678), ('Stealing', 0.8734912), ('Arson', 0.84770304), ('Vandalism', 0.8413412), ('Robbery', 0.8408148), ('Shoplifting', 0.7452527)]
Arrest046: [('Explosion', 0.8815278), ('Fighting', 0.8687719), ('Burglary', 0.868721), ('Normal Videos', 0.8649084), ('Abuse', 0.8608966), ('Road Accidents', 0.8588846), ('Shooting', 0.85562027), ('Stealing', 0.8553908), ('Assault', 0.85382825), ('Arrest', 0.8504808), ('Arson', 0.83872944), ('Vandalism', 0.8345222), ('Robbery', 0.8318174), ('Shoplifting', 0.7662161)]
Arrest034: [('Explosion', 0.894791), ('Shooting', 0.8839768), ('Road Accidents', 0.8799103), ('Burglary', 0.8798684), ('Assault', 0.8727791), ('Fighting', 0.86918414), ('Normal Videos', 0.86561906), ('Abuse', 0.8650084), ('Arrest', 0.8626183), ('Stealing', 0.83625686), ('Vandalism', 0.83571905), ('Arson', 0.81606483), ('Robbery', 0.80985403), ('Shoplifting', 0.7430144)]
Arrest021: [('Explosion', 0.9394215), ('Assault', 0.9389781), ('Shooting', 0.93225086), ('Fighting', 0.93174714), ('Abuse', 0.930563), ('Arrest', 0.92923224), ('Stealing', 0.9245344), ('Normal Videos', 0.90837646), ('Road Accidents', 0.88699454), ('Burglary', 0.85181725), ('Vandalism', 0.84196585), ('Robbery', 0.8385154), ('Arson', 0.8324771), ('Shoplifting', 0.777485)]
