RoadAccidents055: [('Road Accidents', 0.07695595175027847), ('Vandalism', 0.07571670413017273), ('Burglary', 0.07565369457006454), ('Explosion', 0.07453817874193192), ('Normal Videos', 0.07420826703310013), ('Shooting', 0.07357527315616608), ('Arson', 0.07259051501750946), ('Assault', 0.07252202928066254), ('Fighting', 0.07233685255050659), ('Arrest', 0.07230823487043381), ('Abuse', 0.07222224771976471), ('Robbery', 0.07170618325471878), ('Stealing', 0.07137943804264069), ('Shoplifting', 0.06861807405948639)]
Shooting013: [('Burglary', 0.07659939676523209), ('Vandalism', 0.0758121907711029), ('Normal Videos', 0.07562768459320068), ('Explosion', 0.07464733719825745), ('Road Accidents', 0.07416383922100067), ('Shooting', 0.07344026863574982), ('Fighting', 0.07316485792398453), ('Assault', 0.07281528413295746), ('Abuse', 0.07245787978172302), ('Stealing', 0.07190980762243271), ('Robbery', 0.07187231630086899), ('Arrest', 0.07183470577001572), ('Arson', 0.07174518704414368), ('Shoplifting', 0.06977827101945877)]
Shooting015: [('Burglary', 0.07771745324134827), ('Road Accidents', 0.0764135792851448), ('Explosion', 0.07530082762241364), ('Vandalism', 0.07420965284109116), ('Normal Videos', 0.0740884467959404), ('Assault', 0.07386550307273865), ('Shooting', 0.07372535020112991), ('Fighting', 0.07350765913724899), ('Abuse', 0.07310889661312103), ('Arrest', 0.07303477823734283), ('Robbery', 0.07273691892623901), ('Stealing', 0.07216992974281311), ('Arson', 0.07190939038991928), ('Shoplifting', 0.0687268078327179)]
Shooting032: [('Vandalism', 0.0791623517870903), ('Shoplifting', 0.07685518264770508), ('Burglary', 0.07633577287197113), ('Road Accidents', 0.07601947337388992), ('Explosion', 0.0754033699631691), ('Fighting', 0.07464969158172607), ('Normal Videos', 0.07443831861019135), ('Shooting', 0.07421185821294785), ('Assault', 0.0741385966539383), ('Abuse', 0.07386431843042374), ('Arrest', 0.07378796488046646), ('Robbery', 0.07377509772777557), ('Stealing', 0.07347098737955093), ('Arson', 0.07285141944885254)]
Shooting047: [('Vandalism', 0.08073031157255173), ('Burglary', 0.07963386178016663), ('Shoplifting', 0.0785636156797409), ('Road Accidents', 0.07724056392908096), ('Arson', 0.07539965212345123), ('Explosion', 0.07502525299787521), ('Normal Videos', 0.0742429569363594), ('Robbery', 0.07396813482046127), ('Stealing', 0.0732288733124733), ('Shooting', 0.07316891849040985), ('Fighting', 0.07308170944452286), ('Assault', 0.07230047881603241), ('Arrest', 0.07229050993919373), ('Abuse', 0.07214450091123581)]
Shooting003: [('Vandalism', 0.07968474924564362), ('Shoplifting', 0.0787050649523735), ('Burglary', 0.0766574814915657), ('Road Accidents', 0.07562858611345291), ('Explosion', 0.0751318633556366), ('Normal Videos', 0.07432879507541656), ('Robbery', 0.0743132084608078), ('Abuse', 0.0735262930393219), ('Shooting', 0.0733896940946579), ('Assault', 0.07321551442146301), ('Fighting', 0.07300494611263275), ('Arrest', 0.07209891825914383), ('Arson', 0.07181792706251144), ('Stealing', 0.0707126185297966)]
Shooting054: [('Explosion', 0.07576703280210495), ('Shooting', 0.07543444633483887), ('Assault', 0.07527639716863632), ('Arrest', 0.07478829473257065), ('Normal Videos', 0.07464934140443802), ('Abuse', 0.0746370255947113), ('Stealing', 0.07462988048791885), ('Fighting', 0.07458967715501785), ('Vandalism', 0.07401569932699203), ('Burglary', 0.07390595227479935), ('Road Accidents', 0.0737605094909668), ('Robbery', 0.07134512811899185), ('Arson', 0.07105060666799545), ('Shoplifting', 0.06863134354352951)]
Shooting029: [('Burglary', 0.0759412869811058), ('Normal Videos', 0.07585207372903824), ('Vandalism', 0.0755893737077713), ('Explosion', 0.075232595205307), ('Shooting', 0.0745740458369255), ('Road Accidents', 0.07451388239860535), ('Fighting', 0.07418330758810043), ('Abuse', 0.07408716529607773), ('Assault', 0.07405965775251389), ('Stealing', 0.07384708523750305), ('Arrest', 0.0735684335231781), ('Robbery', 0.07236818224191666), ('Shoplifting', 0.07092933356761932), ('Arson', 0.07090605795383453)]
Shooting022: [('Burglary', 0.07741411030292511), ('Road Accidents', 0.07610150426626205), ('Vandalism', 0.07600795477628708), ('Explosion', 0.07463345676660538), ('Normal Videos', 0.07378903031349182), ('Fighting', 0.07374454289674759), ('Assault', 0.07341644167900085), ('Abuse', 0.0733092650771141), ('Robbery', 0.07325700670480728), ('Shooting', 0.07320285588502884), ('Stealing', 0.0727834478020668), ('Arrest', 0.0726795494556427), ('Shoplifting', 0.07258809357881546), ('Arson', 0.07236528396606445)]
Shooting042: [('Shoplifting', 0.0772780179977417), ('Burglary', 0.07633168250322342), ('Robbery', 0.07599184662103653), ('Explosion', 0.07519763708114624), ('Vandalism', 0.07497727870941162), ('Road Accidents', 0.07382626086473465), ('Abuse', 0.07352377474308014), ('Fighting', 0.07349493354558945), ('Shooting', 0.07337260246276855), ('Assault', 0.07336149364709854), ('Stealing', 0.0732623040676117), ('Normal Videos', 0.07300282269716263), ('Arrest', 0.072621650993824), ('Arson', 0.0720609724521637)]
Shooting024: [('Assault', 0.07654289156198502), ('Burglary', 0.07633577287197113), ('Abuse', 0.07592658698558807), ('Shooting', 0.07575930655002594), ('Arrest', 0.07570664584636688), ('Explosion', 0.07555832713842392), ('Normal Videos', 0.07532133162021637), ('Fighting', 0.07521291077136993), ('Road Accidents', 0.07479743659496307), ('Vandalism', 0.0743417739868164), ('Stealing', 0.07430948317050934), ('Robbery', 0.07259824126958847), ('Arson', 0.07089076191186905), ('Shoplifting', 0.07069440186023712)]
Shooting025: [('Vandalism', 0.07545910030603409), ('Explosion', 0.07509563863277435), ('Burglary', 0.07508530467748642), ('Road Accidents', 0.07496079057455063), ('Shooting', 0.07316891849040985), ('Normal Videos', 0.07272156327962875), ('Fighting', 0.0725506916642189), ('Assault', 0.0724601149559021), ('Abuse', 0.07226758450269699), ('Arrest', 0.07202527672052383), ('Robbery', 0.07195357978343964), ('Shoplifting', 0.07150211930274963), ('Stealing', 0.07140722125768661), ('Arson', 0.07098236680030823)]
Shooting020: [('Burglary', 0.07884996384382248), ('Vandalism', 0.07686256617307663), ('Road Accidents', 0.07573646306991577), ('Explosion', 0.07565406709909439), ('Assault', 0.0740421712398529), ('Normal Videos', 0.07385923713445663), ('Shooting', 0.07385233789682388), ('Fighting', 0.07375380396842957), ('Abuse', 0.07364992052316666), ('Arrest', 0.07332832366228104), ('Arson', 0.07301964610815048), ('Stealing', 0.07277277112007141), ('Robbery', 0.07252289354801178), ('Shoplifting', 0.0696478858590126)]
Shooting052: [('Explosion', 0.07512453198432922), ('Road Accidents', 0.07496079057455063), ('Burglary', 0.07486353069543839), ('Vandalism', 0.07422606647014618), ('Assault', 0.07416433840990067), ('Shooting', 0.07415922731161118), ('Fighting', 0.07393259555101395), ('Normal Videos', 0.07366092503070831), ('Abuse', 0.07362370938062668), ('Arrest', 0.07338151335716248), ('Stealing', 0.07326570898294449), ('Robbery', 0.07173128426074982), ('Arson', 0.07119885832071304), ('Shoplifting', 0.06904904544353485)]
Shooting011: [('Shoplifting', 0.07715605944395065), ('Burglary', 0.07703293114900589), ('Vandalism', 0.07688000053167343), ('Assault', 0.07590796053409576), ('Explosion', 0.07562325149774551), ('Robbery', 0.07513191550970078), ('Shooting', 0.07509168237447739), ('Fighting', 0.07502730935811996), ('Arrest', 0.07483788579702377), ('Abuse', 0.07483188807964325), ('Road Accidents', 0.07463791221380234), ('Stealing', 0.07389381527900696), ('Normal Videos', 0.07373541593551636), ('Arson', 0.07326693832874298)]
Shooting006: [('Burglary', 0.07673364132642746), ('Explosion', 0.07565406709909439), ('Road Accidents', 0.07464263588190079), ('Assault', 0.07399307936429977), ('Fighting', 0.07375380396842957), ('Shooting', 0.07372535020112991), ('Normal Videos', 0.07364420592784882), ('Arson', 0.07352627068758011), ('Vandalism', 0.07350146025419235), ('Robbery', 0.07348736375570297), ('Arrest', 0.07326172292232513), ('Abuse', 0.07323668897151947), ('Stealing', 0.07285495102405548), ('Shoplifting', 0.07113708555698395)]
Shooting019: [('Road Accidents', 0.07701528072357178), ('Burglary', 0.07592898607254028), ('Vandalism', 0.07576657831668854), ('Explosion', 0.07565369457006454), ('Normal Videos', 0.07475452125072479), ('Shoplifting', 0.07351554185152054), ('Shooting', 0.0734344869852066), ('Assault', 0.07302878797054291), ('Robbery', 0.07300284504890442), ('Fighting', 0.0727858692407608), ('Abuse', 0.07271146774291992), ('Arrest', 0.07229496538639069), ('Stealing', 0.07154580950737), ('Arson', 0.07132038474082947)]
Shooting005: [('Road Accidents', 0.07496079057455063), ('Normal Videos', 0.07470960915088654), ('Explosion', 0.07463749498128891), ('Fighting', 0.07399241626262665), ('Abuse', 0.07385288923978806), ('Shooting', 0.07372014224529266), ('Vandalism', 0.07359539717435837), ('Stealing', 0.07329712808132172), ('Assault', 0.07323296368122101), ('Arrest', 0.0723167136311531), ('Burglary', 0.07225210964679718), ('Robbery', 0.07207684963941574), ('Arson', 0.07062957435846329), ('Shoplifting', 0.06946302950382233)]
Shooting030: [('Vandalism', 0.07583530992269516), ('Burglary', 0.07562378793954849), ('Fighting', 0.07557474076747894), ('Assault', 0.07537457346916199), ('Explosion', 0.07527971267700195), ('Abuse', 0.07512300461530685), ('Stealing', 0.07496676594018936), ('Shooting', 0.07496485114097595), ('Road Accidents', 0.07477953284978867), ('Arrest', 0.07451649755239487), ('Normal Videos', 0.07405699789524078), ('Robbery', 0.07193104177713394), ('Arson', 0.07169574499130249), ('Shoplifting', 0.0707000121474266)]
Shooting007: [('Burglary', 0.07674966007471085), ('Vandalism', 0.07641192525625229), ('Explosion', 0.07578449696302414), ('Fighting', 0.07508379966020584), ('Assault', 0.07506066560745239), ('Shooting', 0.07477027177810669), ('Abuse', 0.0745696946978569), ('Arrest', 0.07435456663370132), ('Stealing', 0.07417137175798416), ('Road Accidents', 0.07411892712116241), ('Normal Videos', 0.07407133281230927), ('Arson', 0.07354611158370972), ('Robbery', 0.07191777229309082), ('Shoplifting', 0.07055406272411346)]
Shooting026: [('Burglary', 0.07512903213500977), ('Explosion', 0.07447241991758347), ('Road Accidents', 0.07440588623285294), ('Vandalism', 0.07399293780326843), ('Normal Videos', 0.0737815797328949), ('Fighting', 0.07359213382005692), ('Abuse', 0.07317951321601868), ('Shooting', 0.07312452048063278), ('Assault', 0.07235444337129593), ('Stealing', 0.07216925173997879), ('Robbery', 0.07187173515558243), ('Arrest', 0.07150683552026749), ('Arson', 0.07076258957386017), ('Shoplifting', 0.07013275474309921)]
Shooting050: [('Vandalism', 0.07856623083353043), ('Road Accidents', 0.07853066921234131), ('Burglary', 0.07772514969110489), ('Shoplifting', 0.07625062018632889), ('Shooting', 0.07602772116661072), ('Fighting', 0.07565765082836151), ('Assault', 0.07552313804626465), ('Explosion', 0.07542940229177475), ('Abuse', 0.07519429922103882), ('Arson', 0.07489442080259323), ('Robbery', 0.07472092658281326), ('Arrest', 0.0746607631444931), ('Stealing', 0.07433272153139114), ('Normal Videos', 0.0739966332912445)]
Shooting014: [('Burglary', 0.07801496237516403), ('Vandalism', 0.07652181386947632), ('Normal Videos', 0.07597388327121735), ('Road Accidents', 0.07573630660772324), ('Explosion', 0.07540380209684372), ('Shooting', 0.07464194297790527), ('Assault', 0.07386550307273865), ('Arson', 0.0736759603023529), ('Robbery', 0.07363001257181168), ('Fighting', 0.07350765913724899), ('Abuse', 0.07310889661312103), ('Arrest', 0.07303477823734283), ('Shoplifting', 0.07278680801391602), ('Stealing', 0.07255706936120987)]
Shooting046: [('Normal Videos', 0.07688017934560776), ('Arson', 0.07684481889009476), ('Burglary', 0.07586828619241714), ('Shoplifting', 0.0758059173822403), ('Explosion', 0.07546982169151306), ('Vandalism', 0.07519526034593582), ('Abuse', 0.07496268302202225), ('Robbery', 0.07469307631254196), ('Assault', 0.07464530318975449), ('Road Accidents', 0.0745999738574028), ('Shooting', 0.07421794533729553), ('Fighting', 0.0741848349571228), ('Arrest', 0.07400767505168915), ('Stealing', 0.07378125190734863)]
Shooting036: [('Burglary', 0.07982156425714493), ('Vandalism', 0.07806400954723358), ('Road Accidents', 0.07649866491556168), ('Normal Videos', 0.07630515843629837), ('Assault', 0.07583221793174744), ('Shooting', 0.07566843181848526), ('Explosion', 0.07545169442892075), ('Fighting', 0.07530789077281952), ('Abuse', 0.07526612281799316), ('Arrest', 0.07478073984384537), ('Stealing', 0.07378064095973969), ('Robbery', 0.07336009293794632), ('Arson', 0.07273309677839279), ('Shoplifting', 0.07181138545274734)]
Shooting040: [('Explosion', 0.07442385703325272), ('Fighting', 0.07373613864183426), ('Burglary', 0.07330402731895447), ('Stealing', 0.07317673414945602), ('Normal Videos', 0.07315845042467117), ('Abuse', 0.07291151583194733), ('Shooting', 0.07284045964479446), ('Assault', 0.07259860634803772), ('Road Accidents', 0.07244112342596054), ('Arrest', 0.07224556803703308), ('Vandalism', 0.0722426176071167), ('Robbery', 0.07180023938417435), ('Arson', 0.07073886692523956), ('Shoplifting', 0.06806551665067673)]
Shooting001: [('Explosion', 0.07432170957326889), ('Road Accidents', 0.07413916289806366), ('Normal Videos', 0.07374265789985657), ('Burglary', 0.07312050461769104), ('Fighting', 0.0724964588880539), ('Vandalism', 0.07222580164670944), ('Shooting', 0.07210049778223038), ('Abuse', 0.0720723420381546), ('Stealing', 0.07190995663404465), ('Assault', 0.07111628353595734), ('Robbery', 0.07107894867658615), ('Arrest', 0.07100554555654526), ('Arson', 0.07058274745941162), ('Shoplifting', 0.06694992631673813)]
Shooting043: [('Explosion', 0.07571140676736832), ('Burglary', 0.07566961646080017), ('Road Accidents', 0.07425010204315186), ('Assault', 0.07411089539527893), ('Fighting', 0.07403507083654404), ('Shooting', 0.07385462522506714), ('Abuse', 0.07358254492282867), ('Vandalism', 0.07340707629919052), ('Arrest', 0.07334019243717194), ('Normal Videos', 0.07313188910484314), ('Stealing', 0.07302448898553848), ('Robbery', 0.07173128426074982), ('Arson', 0.07110822945833206), ('Shoplifting', 0.06845095008611679)]
Shooting053: [('Burglary', 0.07918472588062286), ('Vandalism', 0.07725396007299423), ('Road Accidents', 0.07574313879013062), ('Explosion', 0.07565406709909439), ('Assault', 0.07399307936429977), ('Fighting', 0.07375380396842957), ('Shooting', 0.07369380444288254), ('Arson', 0.07365904003381729), ('Robbery', 0.07332500070333481), ('Arrest', 0.07326172292232513), ('Abuse', 0.07323668897151947), ('Normal Videos', 0.07314896583557129), ('Stealing', 0.07285495102405548), ('Shoplifting', 0.07145248353481293)]
Shooting018: [('Shoplifting', 0.07576099783182144), ('Vandalism', 0.07559895515441895), ('Burglary', 0.07528875768184662), ('Explosion', 0.07501335442066193), ('Road Accidents', 0.07496079057455063), ('Robbery', 0.07472610473632812), ('Normal Videos', 0.07436703890562057), ('Fighting', 0.07393594831228256), ('Stealing', 0.07380597293376923), ('Shooting', 0.07335233688354492), ('Abuse', 0.07319825142621994), ('Assault', 0.07303547859191895), ('Arrest', 0.0728018507361412), ('Arson', 0.07264688611030579)]
Shooting044: [('Explosion', 0.07525791972875595), ('Burglary', 0.0749242976307869), ('Vandalism', 0.07439906895160675), ('Road Accidents', 0.07344502210617065), ('Normal Videos', 0.07314907014369965), ('Fighting', 0.0730106309056282), ('Assault', 0.07277006655931473), ('Abuse', 0.07257378101348877), ('Shooting', 0.07250414788722992), ('Arrest', 0.07213021069765091), ('Stealing', 0.07180729508399963), ('Robbery', 0.07172659784555435), ('Arson', 0.07112787663936615), ('Shoplifting', 0.06915323436260223)]
Shooting004: [('Burglary', 0.07622043788433075), ('Explosion', 0.07549053430557251), ('Normal Videos', 0.07508893311023712), ('Shooting', 0.07503828406333923), ('Road Accidents', 0.07501819729804993), ('Assault', 0.07497751712799072), ('Vandalism', 0.07496767491102219), ('Arrest', 0.07416709512472153), ('Abuse', 0.07411187887191772), ('Fighting', 0.07386405766010284), ('Stealing', 0.07359283417463303), ('Robbery', 0.0725434198975563), ('Shoplifting', 0.07131332159042358), ('Arson', 0.07080017775297165)]
Shooting012: [('Vandalism', 0.08017290383577347), ('Shoplifting', 0.07985589653253555), ('Assault', 0.07723866403102875), ('Burglary', 0.07713037729263306), ('Abuse', 0.07679316401481628), ('Shooting', 0.07660059630870819), ('Arrest', 0.07647981494665146), ('Fighting', 0.07606589049100876), ('Robbery', 0.0758834257721901), ('Stealing', 0.0758819580078125), ('Explosion', 0.07567962259054184), ('Normal Videos', 0.0756693109869957), ('Road Accidents', 0.07521522790193558), ('Arson', 0.07194922864437103)]
Shooting028: [('Burglary', 0.07729696482419968), ('Explosion', 0.07605637609958649), ('Stealing', 0.07507014274597168), ('Robbery', 0.07493163645267487), ('Abuse', 0.07491768151521683), ('Fighting', 0.07477632910013199), ('Assault', 0.07457385212182999), ('Shooting', 0.07439418137073517), ('Road Accidents', 0.07433248311281204), ('Arrest', 0.07406166195869446), ('Vandalism', 0.07383924722671509), ('Normal Videos', 0.07354629039764404), ('Shoplifting', 0.07226283103227615), ('Arson', 0.07176816463470459)]
Shooting041: [('Explosion', 0.07521151006221771), ('Robbery', 0.07388365268707275), ('Road Accidents', 0.073860302567482), ('Normal Videos', 0.07379117608070374), ('Burglary', 0.07370811700820923), ('Stealing', 0.07299293577671051), ('Fighting', 0.07289409637451172), ('Abuse', 0.07244280725717545), ('Assault', 0.07229252904653549), ('Shooting', 0.07202288508415222), ('Vandalism', 0.07195553928613663), ('Shoplifting', 0.07180190831422806), ('Arrest', 0.07152965664863586), ('Arson', 0.07096324861049652)]
Shooting023: [('Burglary', 0.07764293253421783), ('Road Accidents', 0.07622139900922775), ('Vandalism', 0.07602943480014801), ('Explosion', 0.07484452426433563), ('Normal Videos', 0.07421457022428513), ('Shooting', 0.07371075451374054), ('Assault', 0.07358730584383011), ('Fighting', 0.07354339957237244), ('Stealing', 0.0732659175992012), ('Abuse', 0.07324637472629547), ('Arrest', 0.07305361330509186), ('Robbery', 0.0716223493218422), ('Arson', 0.0715399831533432), ('Shoplifting', 0.06717468053102493)]
Shooting021: [('Road Accidents', 0.07620096206665039), ('Burglary', 0.07575669139623642), ('Explosion', 0.07496430724859238), ('Vandalism', 0.07473132759332657), ('Assault', 0.07460609823465347), ('Shooting', 0.07459939271211624), ('Abuse', 0.07412806153297424), ('Fighting', 0.07405492663383484), ('Arrest', 0.07399832457304001), ('Stealing', 0.07383754104375839), ('Normal Videos', 0.07332602143287659), ('Robbery', 0.07167889177799225), ('Arson', 0.07084233313798904), ('Shoplifting', 0.06907239556312561)]
Shooting009: [('Burglary', 0.07853838056325912), ('Vandalism', 0.07558601349592209), ('Road Accidents', 0.07557562738656998), ('Robbery', 0.07509012520313263), ('Shoplifting', 0.0749078094959259), ('Explosion', 0.07422065734863281), ('Normal Videos', 0.07380549609661102), ('Arson', 0.07328356057405472), ('Fighting', 0.07234668731689453), ('Shooting', 0.07231258600950241), ('Abuse', 0.07210211455821991), ('Stealing', 0.0720110833644867), ('Arrest', 0.07165117561817169), ('Assault', 0.07150543481111526)]
Shooting031: [('Burglary', 0.07654930651187897), ('Explosion', 0.075712189078331), ('Road Accidents', 0.07544336467981339), ('Normal Videos', 0.07460334897041321), ('Vandalism', 0.07459575682878494), ('Fighting', 0.07324416190385818), ('Shooting', 0.07302991300821304), ('Assault', 0.07290030270814896), ('Abuse', 0.0726049393415451), ('Arrest', 0.07233476638793945), ('Stealing', 0.07224065065383911), ('Arson', 0.07168660312891006), ('Robbery', 0.07167727500200272), ('Shoplifting', 0.06822293251752853)]
Shooting048: [('Assault', 0.07623396068811417), ('Explosion', 0.07590656727552414), ('Fighting', 0.0758071318268776), ('Shooting', 0.07566419243812561), ('Abuse', 0.07564292848110199), ('Arrest', 0.07535918056964874), ('Stealing', 0.07490908354520798), ('Burglary', 0.07397517561912537), ('Road Accidents', 0.0737912729382515), ('Normal Videos', 0.07364283502101898), ('Vandalism', 0.07224186509847641), ('Robbery', 0.07076633721590042), ('Arson', 0.07039014250040054), ('Shoplifting', 0.06649848073720932)]
Shooting010: [('Assault', 0.07636546343564987), ('Explosion', 0.07613096386194229), ('Burglary', 0.07578334957361221), ('Abuse', 0.07536746561527252), ('Shooting', 0.075328029692173), ('Arrest', 0.075316421687603), ('Fighting', 0.0753016322851181), ('Stealing', 0.07451926916837692), ('Road Accidents', 0.07399050146341324), ('Normal Videos', 0.07362470775842667), ('Vandalism', 0.07333014905452728), ('Robbery', 0.07121939957141876), ('Arson', 0.0708123967051506), ('Shoplifting', 0.06727919727563858)]
Shooting037: [('Explosion', 0.07488956302404404), ('Vandalism', 0.07434839755296707), ('Burglary', 0.0738942101597786), ('Fighting', 0.07331182807683945), ('Road Accidents', 0.07322506606578827), ('Normal Videos', 0.07276691496372223), ('Abuse', 0.0725271999835968), ('Robbery', 0.072352834045887), ('Shooting', 0.0722840204834938), ('Assault', 0.07222285121679306), ('Stealing', 0.07214469462633133), ('Arrest', 0.07186233997344971), ('Arson', 0.07079234719276428), ('Shoplifting', 0.06967072933912277)]
Shooting017: [('Explosion', 0.07432211935520172), ('Burglary', 0.07413240522146225), ('Road Accidents', 0.07389719784259796), ('Vandalism', 0.07371547818183899), ('Normal Videos', 0.07332856953144073), ('Robbery', 0.07289561629295349), ('Shooting', 0.07231751829385757), ('Abuse', 0.07222983241081238), ('Fighting', 0.07206052541732788), ('Assault', 0.0720403790473938), ('Arrest', 0.07160675525665283), ('Stealing', 0.0715877115726471), ('Arson', 0.07107920199632645), ('Shoplifting', 0.07056152820587158)]
Shooting008: [('Explosion', 0.07525454461574554), ('Burglary', 0.07516232877969742), ('Road Accidents', 0.07473442703485489), ('Vandalism', 0.07449918240308762), ('Shoplifting', 0.07425419241189957), ('Robbery', 0.07400462031364441), ('Normal Videos', 0.07336080074310303), ('Arson', 0.07284729927778244), ('Fighting', 0.07274606823921204), ('Shooting', 0.07229872047901154), ('Stealing', 0.07181815803050995), ('Abuse', 0.07175227999687195), ('Arrest', 0.0716620609164238), ('Assault', 0.07138929516077042)]
Shooting027: [('Burglary', 0.07613745331764221), ('Explosion', 0.07516784965991974), ('Vandalism', 0.07406871020793915), ('Road Accidents', 0.07381097972393036), ('Normal Videos', 0.07340867817401886), ('Shooting', 0.07278532534837723), ('Fighting', 0.0725778117775917), ('Assault', 0.07257670164108276), ('Abuse', 0.07215581834316254), ('Arrest', 0.07195348292589188), ('Arson', 0.07147319614887238), ('Stealing', 0.07101576030254364), ('Robbery', 0.07099547982215881), ('Shoplifting', 0.06658760458230972)]
Shooting002: [('Explosion', 0.07516501098871231), ('Vandalism', 0.07496922463178635), ('Burglary', 0.07470129430294037), ('Fighting', 0.07425978779792786), ('Abuse', 0.073884516954422), ('Assault', 0.07383676618337631), ('Stealing', 0.07374998182058334), ('Normal Videos', 0.07358955591917038), ('Road Accidents', 0.07345487922430038), ('Shooting', 0.0733330175280571), ('Arrest', 0.07318849861621857), ('Robbery', 0.07245542109012604), ('Shoplifting', 0.0711737722158432), ('Arson', 0.07112463563680649)]
Shooting033: [('Explosion', 0.07546518743038177), ('Burglary', 0.07510282099246979), ('Normal Videos', 0.07496365159749985), ('Road Accidents', 0.0741477981209755), ('Vandalism', 0.07351970672607422), ('Assault', 0.07351060956716537), ('Fighting', 0.07348457723855972), ('Shooting', 0.07346873730421066), ('Abuse', 0.0734022781252861), ('Arrest', 0.07315923273563385), ('Stealing', 0.07302796095609665), ('Robbery', 0.0721302479505539), ('Arson', 0.07142117619514465), ('Shoplifting', 0.06822747737169266)]
Abuse002: [('Road Accidents', 0.07622062414884567), ('Vandalism', 0.07530604302883148), ('Burglary', 0.07484115660190582), ('Normal Videos', 0.07375018298625946), ('Explosion', 0.07359249144792557), ('Robbery', 0.07261202484369278), ('Abuse', 0.0724082812666893), ('Shooting', 0.07230982184410095), ('Stealing', 0.07167798280715942), ('Assault', 0.07160118967294693), ('Fighting', 0.0715295821428299), ('Arrest', 0.07130683213472366), ('Arson', 0.07098007202148438), ('Shoplifting', 0.07052641361951828)]
Abuse006: [('Burglary', 0.07764293253421783), ('Vandalism', 0.07720746845006943), ('Road Accidents', 0.07622139900922775), ('Assault', 0.07550957053899765), ('Explosion', 0.07550816237926483), ('Fighting', 0.07489655911922455), ('Shooting', 0.07479959726333618), ('Arrest', 0.07454375922679901), ('Abuse', 0.07448656857013702), ('Normal Videos', 0.0741058960556984), ('Stealing', 0.07366947084665298), ('Shoplifting', 0.07325607538223267), ('Robbery', 0.07317323237657547), ('Arson', 0.0715399831533432)]
Abuse039: [('Shoplifting', 0.0801757276058197), ('Vandalism', 0.07789607346057892), ('Burglary', 0.07674790918827057), ('Assault', 0.0766235813498497), ('Robbery', 0.07610488682985306), ('Shooting', 0.07595771551132202), ('Fighting', 0.07588174194097519), ('Abuse', 0.07577215880155563), ('Explosion', 0.07567141950130463), ('Arrest', 0.07563173770904541), ('Road Accidents', 0.07512440532445908), ('Stealing', 0.07472949475049973), ('Normal Videos', 0.07465307414531708), ('Arson', 0.07291840761899948)]
Abuse001: [('Explosion', 0.07506968826055527), ('Burglary', 0.07468774169683456), ('Road Accidents', 0.07463079690933228), ('Fighting', 0.07443153858184814), ('Assault', 0.0742654874920845), ('Shooting', 0.07414901256561279), ('Abuse', 0.07399596273899078), ('Arrest', 0.07355108857154846), ('Normal Videos', 0.07347339391708374), ('Stealing', 0.07339052855968475), ('Vandalism', 0.07300866395235062), ('Robbery', 0.0725325495004654), ('Arson', 0.0723351389169693), ('Shoplifting', 0.06870897114276886)]
Abuse049: [('Assault', 0.07574088871479034), ('Explosion', 0.07547231018543243), ('Shooting', 0.07535932958126068), ('Arrest', 0.07499268651008606), ('Road Accidents', 0.07496079057455063), ('Burglary', 0.07482440024614334), ('Abuse', 0.07478272914886475), ('Normal Videos', 0.07473503798246384), ('Vandalism', 0.07439445704221725), ('Fighting', 0.07438308000564575), ('Robbery', 0.07352973520755768), ('Stealing', 0.07301097363233566), ('Shoplifting', 0.07275150716304779), ('Arson', 0.07273763418197632)]
Abuse043: [('Burglary', 0.07579413801431656), ('Vandalism', 0.07575023174285889), ('Explosion', 0.07478753477334976), ('Road Accidents', 0.0745546966791153), ('Normal Videos', 0.0742855966091156), ('Shooting', 0.07428079098463058), ('Fighting', 0.07400743663311005), ('Assault', 0.07362336665391922), ('Robbery', 0.07352973520755768), ('Abuse', 0.07332395762205124), ('Arrest', 0.07309877872467041), ('Stealing', 0.07303665578365326), ('Shoplifting', 0.07302676886320114), ('Arson', 0.07192796468734741)]
Abuse008: [('Burglary', 0.07800137996673584), ('Vandalism', 0.07753420621156693), ('Shoplifting', 0.07644764333963394), ('Road Accidents', 0.07571420818567276), ('Explosion', 0.07500112056732178), ('Robbery', 0.07447808980941772), ('Shooting', 0.07364756613969803), ('Arson', 0.0735115110874176), ('Assault', 0.07349028438329697), ('Normal Videos', 0.07336650788784027), ('Fighting', 0.07334157824516296), ('Arrest', 0.07322194427251816), ('Abuse', 0.07306719571352005), ('Stealing', 0.07228561490774155)]
Abuse016: [('Burglary', 0.07735712826251984), ('Explosion', 0.07510536909103394), ('Road Accidents', 0.07479743659496307), ('Vandalism', 0.07466340065002441), ('Fighting', 0.07458826899528503), ('Normal Videos', 0.07422385364770889), ('Shooting', 0.07415866106748581), ('Assault', 0.07406758517026901), ('Abuse', 0.07380121201276779), ('Stealing', 0.07340113818645477), ('Arrest', 0.07319808751344681), ('Robbery', 0.07248383015394211), ('Arson', 0.07181353867053986), ('Shoplifting', 0.06849351525306702)]
