RoadAccidents055_x264: [('Road Accidents', 0.07655795), ('Vandalism', 0.07618109), ('Burglary', 0.07535075), ('Normal Videos', 0.07352999), ('Arson', 0.072182134), ('Explosion', 0.071565166), ('Robbery', 0.07052415), ('Shooting', 0.07033746), ('Abuse', 0.069441), ('Fighting', 0.069360316), ('Shoplifting', 0.0691673), ('Assault', 0.06883312), ('Arrest', 0.0687745), ('Stealing', 0.06819511)]
Arrest001_x264: [('Road Accidents', 0.07628947), ('Burglary', 0.075792864), ('Vandalism', 0.07459791), ('Normal Videos', 0.07377932), ('Arson', 0.072961524), ('Shoplifting', 0.07199726), ('Robbery', 0.0716928), ('Explosion', 0.07094237), ('Shooting', 0.06987395), ('Fighting', 0.06948624), ('Abuse', 0.06850374), ('Stealing', 0.06828446), ('Arrest', 0.06818868), ('Assault', 0.06760936)]
Arrest050_x264: [('Shoplifting', 0.0769612), ('Vandalism', 0.07631263), ('Road Accidents', 0.07607297), ('Burglary', 0.07588308), ('Arson', 0.07544617), ('Normal Videos', 0.07177409), ('Robbery', 0.071671814), ('Explosion', 0.069892876), ('Fighting', 0.069118835), ('Shooting', 0.06806313), ('Stealing', 0.06794969), ('Abuse', 0.067666665), ('Arrest', 0.06676244), ('Assault', 0.066424415)]
Arrest002_x264: [('Vandalism', 0.07804743), ('Burglary', 0.0776707), ('Shoplifting', 0.07633841), ('Road Accidents', 0.0759755), ('Arson', 0.07382527), ('Normal Videos', 0.072733), ('Robbery', 0.07255589), ('Explosion', 0.06972875), ('Fighting', 0.06846711), ('Shooting', 0.06844393), ('Abuse', 0.06716503), ('Stealing', 0.06703738), ('Arrest', 0.066323824), ('Assault', 0.06568781)]
Arrest013_x264: [('Burglary', 0.079569764), ('Vandalism', 0.07872569), ('Road Accidents', 0.077279106), ('Shoplifting', 0.07576153), ('Arson', 0.074757375), ('Normal Videos', 0.07234664), ('Robbery', 0.071644455), ('Explosion', 0.07009555), ('Fighting', 0.067751214), ('Shooting', 0.06762157), ('Abuse', 0.06690388), ('Stealing', 0.06626323), ('Arrest', 0.06595525), ('Assault', 0.06532475)]
Arrest041_x264: [('Road Accidents', 0.07736082), ('Burglary', 0.07730536), ('Vandalism', 0.07623748), ('Shoplifting', 0.07357198), ('Normal Videos', 0.0734148), ('Arson', 0.07293671), ('Robbery', 0.07133137), ('Explosion', 0.07065082), ('Shooting', 0.06939347), ('Fighting', 0.06892589), ('Abuse', 0.06785306), ('Arrest', 0.06747221), ('Assault', 0.06684127), ('Stealing', 0.06670476)]
Arrest033_x264: [('Road Accidents', 0.07708064), ('Burglary', 0.076502316), ('Shoplifting', 0.075813405), ('Vandalism', 0.07575002), ('Arson', 0.073962666), ('Normal Videos', 0.07336637), ('Robbery', 0.07219535), ('Explosion', 0.0694636), ('Fighting', 0.06871375), ('Shooting', 0.06846987), ('Stealing', 0.06749811), ('Abuse', 0.06742281), ('Arrest', 0.06740951), ('Assault', 0.066351555)]
Arrest029_x264: [('Road Accidents', 0.07619143), ('Normal Videos', 0.07437659), ('Shoplifting', 0.074355215), ('Burglary', 0.07432359), ('Vandalism', 0.07419859), ('Arson', 0.072729535), ('Robbery', 0.07139175), ('Shooting', 0.06986146), ('Fighting', 0.06981612), ('Explosion', 0.06968359), ('Abuse', 0.06859153), ('Stealing', 0.06846032), ('Arrest', 0.06843278), ('Assault', 0.06758751)]
Arrest022_x264: [('Vandalism', 0.07775683), ('Burglary', 0.07746828), ('Road Accidents', 0.076551415), ('Shoplifting', 0.07614405), ('Arson', 0.07360414), ('Robbery', 0.07295389), ('Normal Videos', 0.07290175), ('Explosion', 0.06972725), ('Fighting', 0.06829122), ('Shooting', 0.06789121), ('Abuse', 0.067228794), ('Stealing', 0.06679616), ('Arrest', 0.06669753), ('Assault', 0.06598747)]
Arrest030_x264: [('Road Accidents', 0.076913856), ('Burglary', 0.07642353), ('Vandalism', 0.07581101), ('Shoplifting', 0.07424721), ('Arson', 0.07372776), ('Normal Videos', 0.07314349), ('Robbery', 0.072140455), ('Explosion', 0.07026513), ('Fighting', 0.06904387), ('Shooting', 0.06886909), ('Abuse', 0.068045765), ('Stealing', 0.0674327), ('Arrest', 0.067182995), ('Assault', 0.06675311)]
Arrest044_x264: [('Road Accidents', 0.07510883), ('Burglary', 0.07495877), ('Vandalism', 0.07443135), ('Arson', 0.07404183), ('Shoplifting', 0.07398918), ('Normal Videos', 0.07386611), ('Robbery', 0.0715308), ('Explosion', 0.07075314), ('Shooting', 0.06920013), ('Fighting', 0.06903738), ('Abuse', 0.06895832), ('Stealing', 0.06847838), ('Arrest', 0.06814449), ('Assault', 0.06750123)]
Arrest006_x264: [('Road Accidents', 0.07759062), ('Burglary', 0.07689493), ('Vandalism', 0.076328956), ('Arson', 0.07387528), ('Shoplifting', 0.07351357), ('Normal Videos', 0.07139106), ('Robbery', 0.07090418), ('Explosion', 0.07038606), ('Fighting', 0.06909601), ('Shooting', 0.068817064), ('Abuse', 0.068216436), ('Arrest', 0.06797379), ('Assault', 0.06759933), ('Stealing', 0.06741268)]
Arrest040_x264: [('Vandalism', 0.08069067), ('Burglary', 0.078800626), ('Road Accidents', 0.07830651), ('Shoplifting', 0.0782139), ('Arson', 0.074314766), ('Normal Videos', 0.07147223), ('Robbery', 0.07138509), ('Explosion', 0.07020448), ('Shooting', 0.0669849), ('Fighting', 0.066755585), ('Abuse', 0.06644683), ('Stealing', 0.06585689), ('Arrest', 0.065573424), ('Assault', 0.06499408)]
Arrest004_x264: [('Vandalism', 0.07841147), ('Road Accidents', 0.07833667), ('Burglary', 0.07796872), ('Shoplifting', 0.075555064), ('Arson', 0.07431874), ('Robbery', 0.07120716), ('Normal Videos', 0.071068555), ('Explosion', 0.07033785), ('Fighting', 0.06789867), ('Shooting', 0.06783097), ('Abuse', 0.06742569), ('Arrest', 0.06683707), ('Stealing', 0.06643451), ('Assault', 0.0663689)]
Arrest047_x264: [('Road Accidents', 0.07650921), ('Burglary', 0.07553712), ('Vandalism', 0.075276904), ('Shoplifting', 0.07474691), ('Arson', 0.07467164), ('Normal Videos', 0.072032355), ('Robbery', 0.071435854), ('Explosion', 0.07028284), ('Fighting', 0.069920994), ('Shooting', 0.06917914), ('Stealing', 0.067948684), ('Abuse', 0.06792982), ('Arrest', 0.067593925), ('Assault', 0.066934645)]
Arrest031_x264: [('Burglary', 0.077019244), ('Vandalism', 0.07660962), ('Road Accidents', 0.07602058), ('Shoplifting', 0.07374153), ('Normal Videos', 0.07295592), ('Robbery', 0.07272589), ('Arson', 0.072435975), ('Explosion', 0.07078105), ('Shooting', 0.06927046), ('Fighting', 0.06882788), ('Abuse', 0.06796884), ('Stealing', 0.06759643), ('Arrest', 0.06726524), ('Assault', 0.06678138)]
Arrest016_x264: [('Burglary', 0.078298606), ('Vandalism', 0.078071244), ('Road Accidents', 0.07781736), ('Shoplifting', 0.07780655), ('Arson', 0.07502318), ('Robbery', 0.071545705), ('Normal Videos', 0.070963874), ('Explosion', 0.06947336), ('Fighting', 0.06786789), ('Shooting', 0.06721488), ('Abuse', 0.06688992), ('Stealing', 0.06663169), ('Arrest', 0.06647738), ('Assault', 0.06591843)]
Arrest046_x264: [('Road Accidents', 0.07647479), ('Burglary', 0.07553732), ('Vandalism', 0.07531549), ('Arson', 0.073715314), ('Shoplifting', 0.07345028), ('Normal Videos', 0.07268766), ('Robbery', 0.07103875), ('Explosion', 0.0701198), ('Fighting', 0.069398485), ('Shooting', 0.069397405), ('Abuse', 0.0685177), ('Arrest', 0.06849442), ('Stealing', 0.068335734), ('Assault', 0.06751683)]
Arrest034_x264: [('Road Accidents', 0.07788165), ('Burglary', 0.07683886), ('Vandalism', 0.07679554), ('Arson', 0.07430334), ('Shoplifting', 0.07426078), ('Normal Videos', 0.0712758), ('Robbery', 0.07083355), ('Explosion', 0.07009859), ('Fighting', 0.06879196), ('Shooting', 0.06848417), ('Abuse', 0.06802703), ('Arrest', 0.06766623), ('Stealing', 0.06746765), ('Assault', 0.06727487)]
Arrest021_x264: [('Road Accidents', 0.076499745), ('Vandalism', 0.07547498), ('Shoplifting', 0.07534803), ('Burglary', 0.07513697), ('Arson', 0.07347366), ('Normal Videos', 0.0729116), ('Robbery', 0.07175768), ('Explosion', 0.07008194), ('Fighting', 0.06904609), ('Shooting', 0.06903781), ('Abuse', 0.06840843), ('Stealing', 0.06825295), ('Arrest', 0.067732215), ('Assault', 0.066837996)]
Arrest025_x264: [('Vandalism', 0.07936556), ('Shoplifting', 0.07920429), ('Burglary', 0.07772467), ('Road Accidents', 0.07659396), ('Arson', 0.07414367), ('Robbery', 0.07314698), ('Normal Videos', 0.072205834), ('Explosion', 0.06935749), ('Fighting', 0.06763339), ('Shooting', 0.067184426), ('Stealing', 0.06638774), ('Arrest', 0.06617426), ('Abuse', 0.06611622), ('Assault', 0.06476151)]
Arrest043_x264: [('Road Accidents', 0.07607197), ('Burglary', 0.0756859), ('Vandalism', 0.07469075), ('Arson', 0.073672675), ('Normal Videos', 0.073667586), ('Shoplifting', 0.07166131), ('Explosion', 0.07120954), ('Robbery', 0.07079675), ('Shooting', 0.069776036), ('Fighting', 0.06971408), ('Abuse', 0.069003925), ('Arrest', 0.068105474), ('Stealing', 0.06803045), ('Assault', 0.06791361)]
Arrest038_x264: [('Vandalism', 0.07668732), ('Burglary', 0.07660051), ('Road Accidents', 0.07572919), ('Shoplifting', 0.07555987), ('Normal Videos', 0.07358688), ('Robbery', 0.073168226), ('Arson', 0.07261824), ('Explosion', 0.06966566), ('Fighting', 0.06866424), ('Shooting', 0.06858393), ('Stealing', 0.067982644), ('Abuse', 0.06762612), ('Arrest', 0.067311235), ('Assault', 0.06621589)]
Arrest035_x264: [('Road Accidents', 0.07797576), ('Burglary', 0.07666796), ('Shoplifting', 0.076624796), ('Vandalism', 0.076148085), ('Arson', 0.0737183), ('Normal Videos', 0.073201716), ('Robbery', 0.07271438), ('Explosion', 0.06952428), ('Fighting', 0.06831478), ('Shooting', 0.06822711), ('Abuse', 0.06732005), ('Stealing', 0.06700572), ('Arrest', 0.06676734), ('Assault', 0.06578974)]
Arrest008_x264: [('Road Accidents', 0.07671775), ('Burglary', 0.07651178), ('Arson', 0.07500114), ('Vandalism', 0.074645124), ('Shoplifting', 0.07229896), ('Normal Videos', 0.07189953), ('Explosion', 0.07102314), ('Robbery', 0.07073854), ('Shooting', 0.069635116), ('Fighting', 0.06954779), ('Abuse', 0.06855779), ('Stealing', 0.06791378), ('Assault', 0.067800134), ('Arrest', 0.067709364)]
Arrest018_x264: [('Road Accidents', 0.077481076), ('Vandalism', 0.07597909), ('Shoplifting', 0.07573833), ('Burglary', 0.07523609), ('Arson', 0.07353539), ('Normal Videos', 0.072576664), ('Robbery', 0.071937926), ('Explosion', 0.070280515), ('Fighting', 0.06937791), ('Shooting', 0.06862494), ('Abuse', 0.068197645), ('Stealing', 0.06788748), ('Arrest', 0.066800185), ('Assault', 0.06634677)]
Arrest015_x264: [('Road Accidents', 0.076671734), ('Vandalism', 0.076430984), ('Burglary', 0.07499129), ('Arson', 0.07293197), ('Normal Videos', 0.072650075), ('Shoplifting', 0.071458414), ('Robbery', 0.071178675), ('Explosion', 0.07109452), ('Shooting', 0.06992503), ('Fighting', 0.069847226), ('Abuse', 0.06887853), ('Arrest', 0.06818076), ('Stealing', 0.06790136), ('Assault', 0.06785936)]
Arrest019_x264: [('Vandalism', 0.07753306), ('Shoplifting', 0.077013604), ('Road Accidents', 0.0766957), ('Burglary', 0.07512034), ('Normal Videos', 0.07399059), ('Robbery', 0.073001236), ('Arson', 0.07296025), ('Explosion', 0.06944679), ('Fighting', 0.06875036), ('Shooting', 0.068087414), ('Abuse', 0.067710556), ('Stealing', 0.067669645), ('Arrest', 0.06631018), ('Assault', 0.06571026)]
Shooting051_x264: [('Road Accidents', 0.07617765), ('Vandalism', 0.074004695), ('Burglary', 0.07359206), ('Normal Videos', 0.072926044), ('Explosion', 0.07229127), ('Arson', 0.071922556), ('Shooting', 0.07128894), ('Fighting', 0.07108983), ('Abuse', 0.07044613), ('Robbery', 0.069833696), ('Assault', 0.069751084), ('Arrest', 0.0696055), ('Stealing', 0.068771265), ('Shoplifting', 0.0682993)]
Shooting034_x264: [('Burglary', 0.077943265), ('Road Accidents', 0.07759403), ('Vandalism', 0.07709639), ('Arson', 0.07357332), ('Shoplifting', 0.07178239), ('Explosion', 0.07166495), ('Normal Videos', 0.07126799), ('Robbery', 0.07046748), ('Fighting', 0.06929894), ('Shooting', 0.06871316), ('Abuse', 0.068409495), ('Arrest', 0.067629434), ('Assault', 0.06754923), ('Stealing', 0.06700995)]
Shooting039_x264: [('Vandalism', 0.07902478), ('Burglary', 0.07894847), ('Road Accidents', 0.07759463), ('Shoplifting', 0.07563315), ('Arson', 0.07396224), ('Normal Videos', 0.07176129), ('Robbery', 0.07165744), ('Explosion', 0.07036309), ('Shooting', 0.067839086), ('Fighting', 0.06768519), ('Abuse', 0.06692879), ('Arrest', 0.06681606), ('Stealing', 0.06604987), ('Assault', 0.065735914)]
Shooting038_x264: [('Vandalism', 0.07740644), ('Burglary', 0.0773022), ('Road Accidents', 0.076810814), ('Shoplifting', 0.07509592), ('Arson', 0.073694), ('Normal Videos', 0.07279524), ('Robbery', 0.07206438), ('Explosion', 0.07076385), ('Fighting', 0.0686965), ('Shooting', 0.06825527), ('Abuse', 0.067447424), ('Stealing', 0.06706759), ('Arrest', 0.06654101), ('Assault', 0.06605939)]
Shooting013_x264: [('Burglary', 0.080391474), ('Vandalism', 0.07823027), ('Road Accidents', 0.077189505), ('Arson', 0.07387718), ('Normal Videos', 0.07370547), ('Shoplifting', 0.07279031), ('Robbery', 0.07180401), ('Explosion', 0.07113013), ('Shooting', 0.06802761), ('Fighting', 0.0674819), ('Abuse', 0.067269), ('Stealing', 0.06633117), ('Arrest', 0.06596313), ('Assault', 0.0658088)]
Shooting015_x264: [('Burglary', 0.076877564), ('Road Accidents', 0.07663218), ('Vandalism', 0.076625116), ('Normal Videos', 0.0738972), ('Shoplifting', 0.07290893), ('Arson', 0.072424866), ('Robbery', 0.0720005), ('Explosion', 0.0705544), ('Shooting', 0.068955034), ('Fighting', 0.06874235), ('Abuse', 0.06816861), ('Arrest', 0.06761807), ('Stealing', 0.06739627), ('Assault', 0.0671989)]
Shooting032_x264: [('Road Accidents', 0.0765485), ('Burglary', 0.07623643), ('Vandalism', 0.07533408), ('Arson', 0.07403668), ('Shoplifting', 0.073421896), ('Normal Videos', 0.07315317), ('Robbery', 0.07165362), ('Explosion', 0.070978604), ('Fighting', 0.06949131), ('Shooting', 0.069028966), ('Abuse', 0.067988515), ('Stealing', 0.06759179), ('Arrest', 0.06739241), ('Assault', 0.06714403)]
Shooting047_x264: [('Shoplifting', 0.07839822), ('Burglary', 0.076958), ('Vandalism', 0.07636634), ('Road Accidents', 0.07635523), ('Arson', 0.07457872), ('Robbery', 0.073065), ('Normal Videos', 0.07290094), ('Explosion', 0.06917622), ('Fighting', 0.06835179), ('Shooting', 0.06777536), ('Stealing', 0.06728425), ('Abuse', 0.06724083), ('Arrest', 0.0662531), ('Assault', 0.06529608)]
Shooting003_x264: [('Road Accidents', 0.07827502), ('Burglary', 0.0763977), ('Vandalism', 0.07622556), ('Arson', 0.07395865), ('Normal Videos', 0.073001824), ('Shoplifting', 0.071629226), ('Explosion', 0.071542755), ('Robbery', 0.069970235), ('Shooting', 0.069552146), ('Fighting', 0.06937593), ('Abuse', 0.06828664), ('Assault', 0.06768347), ('Arrest', 0.067234784), ('Stealing', 0.0668661)]
Shooting054_x264: [('Burglary', 0.076516755), ('Normal Videos', 0.07648271), ('Vandalism', 0.07635164), ('Road Accidents', 0.075654596), ('Shoplifting', 0.07466445), ('Arson', 0.072366916), ('Robbery', 0.07147964), ('Explosion', 0.071027994), ('Shooting', 0.06944275), ('Fighting', 0.06846281), ('Abuse', 0.0673892), ('Stealing', 0.06710602), ('Arrest', 0.06690689), ('Assault', 0.06614761)]
Shooting029_x264: [('Shoplifting', 0.078347325), ('Vandalism', 0.078040905), ('Burglary', 0.076917864), ('Road Accidents', 0.076595604), ('Arson', 0.07377579), ('Normal Videos', 0.073763385), ('Robbery', 0.072570555), ('Explosion', 0.069666885), ('Fighting', 0.06786484), ('Shooting', 0.06778454), ('Stealing', 0.066880256), ('Abuse', 0.06672117), ('Arrest', 0.0659711), ('Assault', 0.06509973)]
Shooting022_x264: [('Road Accidents', 0.07717698), ('Burglary', 0.07685743), ('Vandalism', 0.0766097), ('Shoplifting', 0.075380825), ('Normal Videos', 0.07365566), ('Arson', 0.073614664), ('Robbery', 0.07192118), ('Explosion', 0.06989493), ('Shooting', 0.06850262), ('Fighting', 0.06844701), ('Abuse', 0.06751889), ('Stealing', 0.067136176), ('Arrest', 0.06689374), ('Assault', 0.06639021)]
Shooting042_x264: [('Burglary', 0.07981585), ('Shoplifting', 0.079176255), ('Vandalism', 0.07913535), ('Road Accidents', 0.077681266), ('Arson', 0.07406144), ('Robbery', 0.073152706), ('Normal Videos', 0.07233231), ('Explosion', 0.06926479), ('Fighting', 0.06726181), ('Shooting', 0.066831715), ('Abuse', 0.06580144), ('Arrest', 0.065566584), ('Stealing', 0.0653826), ('Assault', 0.06453588)]
Shooting024_x264: [('Road Accidents', 0.07680035), ('Burglary', 0.07506116), ('Vandalism', 0.07498449), ('Normal Videos', 0.07369227), ('Arson', 0.07241753), ('Shoplifting', 0.07133341), ('Explosion', 0.071313545), ('Robbery', 0.070353344), ('Shooting', 0.07021443), ('Fighting', 0.07003876), ('Abuse', 0.06934048), ('Stealing', 0.06827791), ('Assault', 0.06810654), ('Arrest', 0.06806581)]
Shooting025_x264: [('Road Accidents', 0.07704593), ('Vandalism', 0.076171644), ('Burglary', 0.07582654), ('Arson', 0.07371729), ('Shoplifting', 0.07225059), ('Normal Videos', 0.071876906), ('Explosion', 0.07083699), ('Robbery', 0.070658684), ('Shooting', 0.069942765), ('Fighting', 0.06938997), ('Abuse', 0.068531714), ('Arrest', 0.06834101), ('Assault', 0.06773702), ('Stealing', 0.06767295)]
Shooting020_x264: [('Burglary', 0.07718496), ('Vandalism', 0.07701968), ('Road Accidents', 0.07669309), ('Shoplifting', 0.07519999), ('Normal Videos', 0.07389929), ('Arson', 0.07375887), ('Robbery', 0.072076045), ('Explosion', 0.06998786), ('Fighting', 0.068503074), ('Shooting', 0.06846881), ('Abuse', 0.06750225), ('Stealing', 0.0668325), ('Arrest', 0.066645585), ('Assault', 0.06622802)]
Shooting052_x264: [('Road Accidents', 0.07651061), ('Burglary', 0.07539034), ('Vandalism', 0.07482723), ('Arson', 0.07318029), ('Normal Videos', 0.07290738), ('Explosion', 0.07103766), ('Shoplifting', 0.070819266), ('Robbery', 0.07016421), ('Shooting', 0.07013991), ('Fighting', 0.07000553), ('Abuse', 0.069344975), ('Arrest', 0.068589635), ('Stealing', 0.068586014), ('Assault', 0.06849692)]
Shooting011_x264: [('Road Accidents', 0.07719838), ('Burglary', 0.07697335), ('Shoplifting', 0.07648931), ('Vandalism', 0.075914316), ('Arson', 0.07412367), ('Normal Videos', 0.0734296), ('Robbery', 0.0725891), ('Explosion', 0.06967867), ('Shooting', 0.06843246), ('Fighting', 0.06831287), ('Abuse', 0.06706871), ('Stealing', 0.06702019), ('Arrest', 0.066770405), ('Assault', 0.065998994)]
Shooting006_x264: [('Burglary', 0.07827471), ('Vandalism', 0.07786027), ('Road Accidents', 0.07748691), ('Shoplifting', 0.076488115), ('Arson', 0.07442934), ('Normal Videos', 0.07291661), ('Robbery', 0.072007075), ('Explosion', 0.069769025), ('Fighting', 0.06810913), ('Shooting', 0.06785231), ('Abuse', 0.066781625), ('Stealing', 0.06623917), ('Arrest', 0.06613984), ('Assault', 0.06564589)]
Shooting019_x264: [('Burglary', 0.07693768), ('Road Accidents', 0.07644593), ('Vandalism', 0.076306626), ('Normal Videos', 0.074866906), ('Shoplifting', 0.07478805), ('Arson', 0.07268845), ('Robbery', 0.07192704), ('Explosion', 0.07032606), ('Shooting', 0.06864099), ('Fighting', 0.0684723), ('Abuse', 0.06770762), ('Stealing', 0.06757642), ('Arrest', 0.06698163), ('Assault', 0.06633426)]
Shooting005_x264: [('Vandalism', 0.07635986), ('Road Accidents', 0.07621323), ('Burglary', 0.076014675), ('Arson', 0.075587444), ('Shoplifting', 0.07538748), ('Robbery', 0.07209474), ('Normal Videos', 0.07190854), ('Explosion', 0.07067799), ('Fighting', 0.06884768), ('Shooting', 0.068815544), ('Stealing', 0.06766856), ('Abuse', 0.0674586), ('Arrest', 0.06668508), ('Assault', 0.06628068)]
Shooting030_x264: [('Vandalism', 0.07653145), ('Road Accidents', 0.07631083), ('Burglary', 0.07574533), ('Normal Videos', 0.07467088), ('Shoplifting', 0.072954945), ('Arson', 0.072470866), ('Explosion', 0.070783384), ('Robbery', 0.070775375), ('Shooting', 0.06944096), ('Fighting', 0.06935913), ('Abuse', 0.06850822), ('Arrest', 0.06769564), ('Stealing', 0.06767015), ('Assault', 0.06708276)]
Shooting007_x264: [('Vandalism', 0.07759318), ('Burglary', 0.07751934), ('Road Accidents', 0.07593481), ('Shoplifting', 0.074243575), ('Normal Videos', 0.07381247), ('Arson', 0.07356176), ('Robbery', 0.07217714), ('Explosion', 0.0703047), ('Fighting', 0.06847443), ('Shooting', 0.06844003), ('Abuse', 0.06749522), ('Stealing', 0.06716747), ('Arrest', 0.066866644), ('Assault', 0.06640923)]
Shooting026_x264: [('Vandalism', 0.07677617), ('Road Accidents', 0.07652512), ('Burglary', 0.075732216), ('Shoplifting', 0.074151345), ('Arson', 0.074057736), ('Normal Videos', 0.073296435), ('Robbery', 0.071542054), ('Explosion', 0.07081018), ('Shooting', 0.069015644), ('Fighting', 0.068944566), ('Abuse', 0.06797967), ('Stealing', 0.0674517), ('Arrest', 0.066948295), ('Assault', 0.066768885)]
Shooting050_x264: [('Road Accidents', 0.0761328), ('Vandalism', 0.07371763), ('Arson', 0.073579915), ('Burglary', 0.073192015), ('Explosion', 0.07268441), ('Normal Videos', 0.07209791), ('Fighting', 0.070869066), ('Shooting', 0.07082866), ('Abuse', 0.06990633), ('Shoplifting', 0.069597356), ('Arrest', 0.069585375), ('Robbery', 0.06949699), ('Assault', 0.06944657), ('Stealing', 0.068865016)]
Shooting014_x264: [('Road Accidents', 0.076351665), ('Burglary', 0.07625262), ('Vandalism', 0.07520584), ('Shoplifting', 0.07506962), ('Arson', 0.073503405), ('Normal Videos', 0.07339565), ('Robbery', 0.07233343), ('Explosion', 0.0697956), ('Fighting', 0.069276646), ('Shooting', 0.06921394), ('Abuse', 0.0680674), ('Stealing', 0.06758672), ('Arrest', 0.06715312), ('Assault', 0.066794336)]
Shooting046_x264: [('Vandalism', 0.07864158), ('Shoplifting', 0.07833894), ('Burglary', 0.0782817), ('Road Accidents', 0.07750283), ('Arson', 0.0751012), ('Robbery', 0.07210881), ('Normal Videos', 0.07191505), ('Explosion', 0.06995593), ('Fighting', 0.06790449), ('Shooting', 0.06690191), ('Abuse', 0.06680563), ('Stealing', 0.066022776), ('Arrest', 0.0652839), ('Assault', 0.06523523)]
Shooting036_x264: [('Shoplifting', 0.078239985), ('Burglary', 0.0769408), ('Vandalism', 0.07680637), ('Road Accidents', 0.07671581), ('Normal Videos', 0.07425784), ('Arson', 0.07396217), ('Robbery', 0.07337954), ('Explosion', 0.069151506), ('Fighting', 0.06776577), ('Shooting', 0.06765301), ('Stealing', 0.06695676), ('Abuse', 0.06692868), ('Arrest', 0.066075414), ('Assault', 0.065166354)]
Shooting040_x264: [('Shoplifting', 0.079435274), ('Vandalism', 0.079169825), ('Burglary', 0.07798671), ('Road Accidents', 0.076893546), ('Arson', 0.07505194), ('Robbery', 0.07286233), ('Normal Videos', 0.070957616), ('Explosion', 0.06919175), ('Fighting', 0.06717118), ('Shooting', 0.0671401), ('Abuse', 0.06646916), ('Stealing', 0.06629828), ('Arrest', 0.06615997), ('Assault', 0.06521225)]
Shooting001_x264: [('Vandalism', 0.07979124), ('Burglary', 0.07788431), ('Shoplifting', 0.076489724), ('Road Accidents', 0.0748472), ('Normal Videos', 0.07387787), ('Arson', 0.073033534), ('Robbery', 0.07274509), ('Explosion', 0.07036696), ('Fighting', 0.06764798), ('Shooting', 0.06752604), ('Stealing', 0.0675213), ('Abuse', 0.06688708), ('Arrest', 0.066512555), ('Assault', 0.06486917)]
Shooting043_x264: [('Burglary', 0.077221334), ('Road Accidents', 0.07682893), ('Vandalism', 0.07662281), ('Shoplifting', 0.07448197), ('Arson', 0.07335121), ('Normal Videos', 0.073027104), ('Robbery', 0.07275301), ('Explosion', 0.06998876), ('Fighting', 0.068716), ('Shooting', 0.06844024), ('Abuse', 0.067596465), ('Stealing', 0.067387134), ('Arrest', 0.06702815), ('Assault', 0.06655687)]
Shooting053_x264: [('Burglary', 0.079786755), ('Vandalism', 0.07923564), ('Road Accidents', 0.07704235), ('Shoplifting', 0.076303326), ('Arson', 0.073859654), ('Robbery', 0.073619254), ('Normal Videos', 0.07227992), ('Explosion', 0.06952442), ('Shooting', 0.067405656), ('Fighting', 0.06683693), ('Abuse', 0.06658553), ('Stealing', 0.06629444), ('Arrest', 0.06576187), ('Assault', 0.06546423)]
Shooting018_x264: [('Shoplifting', 0.08118771), ('Vandalism', 0.08044514), ('Burglary', 0.07908642), ('Road Accidents', 0.07694517), ('Arson', 0.07468272), ('Robbery', 0.07373139), ('Normal Videos', 0.07155879), ('Explosion', 0.0686902), ('Fighting', 0.06672341), ('Shooting', 0.06671433), ('Abuse', 0.06571323), ('Stealing', 0.06546854), ('Arrest', 0.06503969), ('Assault', 0.06401321)]
Shooting044_x264: [('Shoplifting', 0.081058905), ('Vandalism', 0.08036483), ('Burglary', 0.079502024), ('Road Accidents', 0.07606544), ('Arson', 0.07492837), ('Robbery', 0.073736764), ('Normal Videos', 0.07195524), ('Explosion', 0.069566585), ('Fighting', 0.06656122), ('Stealing', 0.066320315), ('Shooting', 0.06582838), ('Abuse', 0.06582492), ('Arrest', 0.06463663), ('Assault', 0.06365046)]
Shooting004_x264: [('Vandalism', 0.078042254), ('Road Accidents', 0.07667693), ('Burglary', 0.07628827), ('Normal Videos', 0.07439581), ('Shoplifting', 0.07360116), ('Arson', 0.07264276), ('Robbery', 0.07158409), ('Explosion', 0.07046475), ('Shooting', 0.06897061), ('Fighting', 0.06862678), ('Abuse', 0.067919046), ('Stealing', 0.06716324), ('Arrest', 0.0670213), ('Assault', 0.06660308)]
Shooting012_x264: [('Road Accidents', 0.075932495), ('Normal Videos', 0.07541124), ('Vandalism', 0.075254336), ('Burglary', 0.075250566), ('Shoplifting', 0.07332335), ('Arson', 0.07258468), ('Robbery', 0.071888946), ('Explosion', 0.07042621), ('Shooting', 0.06942468), ('Fighting', 0.069184415), ('Abuse', 0.06861251), ('Stealing', 0.06848306), ('Arrest', 0.06739698), ('Assault', 0.06682656)]
Shooting028_x264: [('Vandalism', 0.077807344), ('Burglary', 0.07765105), ('Road Accidents', 0.07672406), ('Shoplifting', 0.07568337), ('Normal Videos', 0.07400173), ('Arson', 0.073556), ('Robbery', 0.07235446), ('Explosion', 0.06996319), ('Fighting', 0.06815171), ('Shooting', 0.06810399), ('Abuse', 0.06720781), ('Stealing', 0.06663123), ('Arrest', 0.0663757), ('Assault', 0.06578828)]
Shooting041_x264: [('Shoplifting', 0.0789908), ('Vandalism', 0.07857928), ('Road Accidents', 0.07784154), ('Burglary', 0.077021174), ('Arson', 0.07475761), ('Robbery', 0.07246861), ('Normal Videos', 0.07173442), ('Explosion', 0.06907934), ('Fighting', 0.067879125), ('Shooting', 0.067447014), ('Abuse', 0.0670016), ('Stealing', 0.066687755), ('Arrest', 0.06558526), ('Assault', 0.06492643)]
