RoadAccidents055_x264: [('Road Accidents', 0.6942875), ('Vandalism', 0.6893528), ('Burglary', 0.67839336), ('Normal Videos', 0.6539328), ('Arson', 0.6354321), ('Explosion', 0.6268479), ('Robbery', 0.61219466), ('Shooting', 0.60954404), ('Abuse', 0.596717), ('Fighting', 0.59555435), ('Shoplifting', 0.5927677), ('Assault', 0.58792454), ('Arrest', 0.58707255), ('Stealing', 0.5786124)]
Abuse046_x264: [('Vandalism', 0.64200336), ('Road Accidents', 0.62957853), ('Burglary', 0.61519486), ('Arson', 0.59737074), ('Normal Videos', 0.59572166), ('Shoplifting', 0.5897453), ('Robbery', 0.57753634), ('Explosion', 0.5618158), ('Shooting', 0.55632985), ('Fighting', 0.54808646), ('Abuse', 0.5409152), ('Stealing', 0.5280732), ('Arrest', 0.5257894), ('Assault', 0.51971096)]
Abuse048_x264: [('Shoplifting', 0.39341182), ('Vandalism', 0.39227638), ('Burglary', 0.36819237), ('Road Accidents', 0.36739716), ('Arson', 0.3443212), ('Normal Videos', 0.33729824), ('Robbery', 0.31872678), ('Explosion', 0.28253394), ('Fighting', 0.25949717), ('Shooting', 0.25604218), ('Abuse', 0.24991891), ('Stealing', 0.2454167), ('Arrest', 0.23195793), ('Assault', 0.21881126)]
Abuse040_x264: [('Shoplifting', 0.42210314), ('Vandalism', 0.40792444), ('Road Accidents', 0.39682588), ('Burglary', 0.3849916), ('Normal Videos', 0.3747601), ('Arson', 0.35889608), ('Robbery', 0.34893295), ('Explosion', 0.29719576), ('Fighting', 0.28151235), ('Shooting', 0.2810727), ('Stealing', 0.2746814), ('Abuse', 0.26980963), ('Arrest', 0.25104868), ('Assault', 0.23879673)]
Abuse042_x264: [('Shoplifting', 0.36679482), ('Burglary', 0.35287738), ('Vandalism', 0.3471284), ('Road Accidents', 0.3455304), ('Arson', 0.32169235), ('Normal Videos', 0.2930891), ('Robbery', 0.27763253), ('Explosion', 0.25668097), ('Fighting', 0.23813924), ('Shooting', 0.22251879), ('Stealing', 0.22212201), ('Abuse', 0.22097263), ('Arrest', 0.19792321), ('Assault', 0.19056587)]
Abuse004_x264: [('Road Accidents', 0.4977658), ('Burglary', 0.4889878), ('Vandalism', 0.4800524), ('Shoplifting', 0.46234834), ('Arson', 0.45509517), ('Normal Videos', 0.43867648), ('Robbery', 0.4298637), ('Explosion', 0.4128727), ('Fighting', 0.40011632), ('Shooting', 0.39512444), ('Abuse', 0.38265455), ('Stealing', 0.37546724), ('Arrest', 0.37220085), ('Assault', 0.3627008)]
Abuse026_x264: [('Burglary', 0.58027816), ('Road Accidents', 0.5769168), ('Vandalism', 0.57471883), ('Shoplifting', 0.5271534), ('Arson', 0.5259646), ('Normal Videos', 0.519549), ('Robbery', 0.5030774), ('Explosion', 0.49642688), ('Fighting', 0.47642577), ('Shooting', 0.46986485), ('Abuse', 0.45885175), ('Arrest', 0.44799992), ('Stealing', 0.44538236), ('Assault', 0.44190463)]
Abuse025_x264: [('Road Accidents', 0.6216694), ('Burglary', 0.6045042), ('Vandalism', 0.5952207), ('Arson', 0.5923951), ('Normal Videos', 0.57855344), ('Shoplifting', 0.5652919), ('Explosion', 0.5540989), ('Fighting', 0.5363865), ('Shooting', 0.5356088), ('Robbery', 0.53450406), ('Abuse', 0.5260673), ('Stealing', 0.511725), ('Assault', 0.5099003), ('Arrest', 0.50942355)]
Abuse028_x264: [('Vandalism', 0.48649767), ('Burglary', 0.4846942), ('Road Accidents', 0.46026215), ('Shoplifting', 0.4328062), ('Arson', 0.4212143), ('Normal Videos', 0.40975755), ('Robbery', 0.39996088), ('Explosion', 0.37046266), ('Shooting', 0.34583855), ('Fighting', 0.34258574), ('Abuse', 0.3236015), ('Arrest', 0.31899396), ('Stealing', 0.31688654), ('Assault', 0.30971444)]
Abuse020_x264: [('Shoplifting', 0.45366564), ('Vandalism', 0.43020666), ('Road Accidents', 0.42734897), ('Burglary', 0.41541713), ('Normal Videos', 0.41031682), ('Arson', 0.3902207), ('Robbery', 0.38068852), ('Explosion', 0.3401396), ('Fighting', 0.32192674), ('Shooting', 0.31776994), ('Stealing', 0.3153665), ('Abuse', 0.31133544), ('Arrest', 0.28818777), ('Assault', 0.27733424)]
Abuse038_x264: [('Vandalism', 0.6194005), ('Road Accidents', 0.59181005), ('Burglary', 0.5916154), ('Shoplifting', 0.5708692), ('Normal Videos', 0.55543983), ('Arson', 0.54777706), ('Robbery', 0.533292), ('Explosion', 0.5091272), ('Shooting', 0.48262823), ('Fighting', 0.47912174), ('Abuse', 0.47011527), ('Stealing', 0.4657114), ('Arrest', 0.45660836), ('Assault', 0.44618586)]
Abuse019_x264: [('Shoplifting', 0.42592812), ('Vandalism', 0.41644824), ('Road Accidents', 0.41644725), ('Burglary', 0.41181737), ('Arson', 0.37228778), ('Normal Videos', 0.35872287), ('Robbery', 0.35558283), ('Explosion', 0.31212485), ('Shooting', 0.2857094), ('Fighting', 0.28239566), ('Abuse', 0.27478278), ('Stealing', 0.27374703), ('Arrest', 0.2619698), ('Assault', 0.24882567)]
Abuse015_x264: [('Road Accidents', 0.49544093), ('Normal Videos', 0.4832874), ('Vandalism', 0.47908825), ('Shoplifting', 0.47572416), ('Burglary', 0.47374552), ('Arson', 0.4612194), ('Robbery', 0.46057993), ('Explosion', 0.43017262), ('Fighting', 0.42473254), ('Shooting', 0.4239576), ('Abuse', 0.41751873), ('Stealing', 0.4170982), ('Arrest', 0.4051513), ('Assault', 0.39318973)]
Abuse027_x264: [('Road Accidents', 0.45879585), ('Shoplifting', 0.45038268), ('Burglary', 0.445078), ('Vandalism', 0.4447258), ('Arson', 0.4083518), ('Normal Videos', 0.3833831), ('Robbery', 0.38254148), ('Explosion', 0.35717708), ('Fighting', 0.33279914), ('Shooting', 0.322912), ('Abuse', 0.3203985), ('Stealing', 0.31076306), ('Arrest', 0.29781517), ('Assault', 0.28842315)]
Abuse044_x264: [('Shoplifting', 0.3933862), ('Vandalism', 0.37672788), ('Burglary', 0.36158288), ('Road Accidents', 0.3563714), ('Normal Videos', 0.32356334), ('Arson', 0.31535316), ('Robbery', 0.3061515), ('Explosion', 0.25598082), ('Shooting', 0.23034284), ('Fighting', 0.22570823), ('Stealing', 0.22290589), ('Abuse', 0.21758969), ('Arrest', 0.20390242), ('Assault', 0.18536684)]
Abuse030_x264: [('Burglary', 0.5361676), ('Vandalism', 0.53056633), ('Road Accidents', 0.5254886), ('Arson', 0.49201426), ('Shoplifting', 0.4802131), ('Normal Videos', 0.4791572), ('Robbery', 0.46249673), ('Explosion', 0.45538387), ('Fighting', 0.4281841), ('Shooting', 0.42205977), ('Abuse', 0.40961206), ('Stealing', 0.39880553), ('Arrest', 0.39829218), ('Assault', 0.39797887)]
Abuse005_x264: [('Burglary', 0.5420189), ('Vandalism', 0.5261235), ('Road Accidents', 0.4969473), ('Shoplifting', 0.49084246), ('Arson', 0.46412623), ('Robbery', 0.4403081), ('Normal Videos', 0.42854434), ('Explosion', 0.40214404), ('Shooting', 0.3685372), ('Fighting', 0.36598223), ('Arrest', 0.35581213), ('Abuse', 0.3510651), ('Stealing', 0.3459159), ('Assault', 0.33336556)]
Abuse022_x264: [('Vandalism', 0.5563967), ('Burglary', 0.5508803), ('Road Accidents', 0.54873204), ('Shoplifting', 0.518077), ('Normal Videos', 0.51503295), ('Arson', 0.49161726), ('Robbery', 0.4654273), ('Explosion', 0.46306217), ('Shooting', 0.44169605), ('Fighting', 0.4405234), ('Abuse', 0.42375404), ('Arrest', 0.4138862), ('Stealing', 0.4102605), ('Assault', 0.40599298)]
Abuse010_x264: [('Burglary', 0.5085951), ('Vandalism', 0.50662386), ('Road Accidents', 0.4896133), ('Shoplifting', 0.48573995), ('Arson', 0.45282036), ('Normal Videos', 0.43968123), ('Robbery', 0.4368428), ('Explosion', 0.39807674), ('Fighting', 0.3692861), ('Shooting', 0.36405754), ('Abuse', 0.3492649), ('Stealing', 0.34878173), ('Arrest', 0.34022677), ('Assault', 0.3253464)]
Abuse035_x264: [('Road Accidents', 0.5892968), ('Vandalism', 0.569044), ('Burglary', 0.5629386), ('Shoplifting', 0.52919847), ('Arson', 0.527912), ('Normal Videos', 0.51585734), ('Explosion', 0.50337267), ('Robbery', 0.4860717), ('Fighting', 0.48335415), ('Shooting', 0.47479025), ('Abuse', 0.47126293), ('Assault', 0.45082846), ('Arrest', 0.4446759), ('Stealing', 0.44271487)]
Abuse009_x264: [('Road Accidents', 0.7061946), ('Vandalism', 0.68856), ('Burglary', 0.68157625), ('Normal Videos', 0.67518), ('Arson', 0.66107196), ('Explosion', 0.6494515), ('Shooting', 0.63409007), ('Fighting', 0.6302265), ('Shoplifting', 0.6284493), ('Robbery', 0.6247214), ('Abuse', 0.61924577), ('Assault', 0.6041807), ('Arrest', 0.60233414), ('Stealing', 0.6004065)]
Abuse018_x264: [('Burglary', 0.4612539), ('Road Accidents', 0.44982737), ('Vandalism', 0.44599932), ('Shoplifting', 0.44066083), ('Arson', 0.4089352), ('Robbery', 0.383287), ('Normal Videos', 0.37618735), ('Explosion', 0.34923518), ('Fighting', 0.3329656), ('Shooting', 0.3241871), ('Abuse', 0.3102184), ('Arrest', 0.30643758), ('Stealing', 0.30394244), ('Assault', 0.29251355)]
Abuse011_x264: [('Shoplifting', 0.46803597), ('Normal Videos', 0.46797842), ('Road Accidents', 0.46581918), ('Vandalism', 0.46571857), ('Burglary', 0.45691097), ('Arson', 0.43783444), ('Robbery', 0.4266994), ('Explosion', 0.3987899), ('Fighting', 0.39694017), ('Shooting', 0.39453876), ('Stealing', 0.38070327), ('Abuse', 0.37975633), ('Arrest', 0.36511752), ('Assault', 0.35321942)]
Abuse003_x264: [('Road Accidents', 0.59229124), ('Burglary', 0.5750756), ('Vandalism', 0.5730219), ('Arson', 0.55324316), ('Normal Videos', 0.55113745), ('Shoplifting', 0.54712266), ('Explosion', 0.5312154), ('Robbery', 0.5273706), ('Fighting', 0.5233859), ('Shooting', 0.5121927), ('Abuse', 0.50469565), ('Stealing', 0.4971072), ('Arrest', 0.48678306), ('Assault', 0.484424)]
Abuse014_x264: [('Burglary', 0.4668128), ('Vandalism', 0.46426588), ('Road Accidents', 0.4580816), ('Shoplifting', 0.44631237), ('Arson', 0.4115252), ('Robbery', 0.37748924), ('Normal Videos', 0.3721388), ('Explosion', 0.34663603), ('Fighting', 0.31591114), ('Abuse', 0.30549872), ('Shooting', 0.3029445), ('Stealing', 0.299295), ('Arrest', 0.28431058), ('Assault', 0.2789985)]
Abuse050_x264: [('Road Accidents', 0.58939433), ('Vandalism', 0.5756839), ('Burglary', 0.5664785), ('Shoplifting', 0.5452209), ('Arson', 0.53535324), ('Normal Videos', 0.5341604), ('Explosion', 0.50234765), ('Robbery', 0.501699), ('Fighting', 0.48598668), ('Shooting', 0.48567954), ('Abuse', 0.47801387), ('Stealing', 0.46135747), ('Arrest', 0.4562176), ('Assault', 0.4531692)]
Abuse045_x264: [('Shoplifting', 0.39246532), ('Vandalism', 0.38132608), ('Road Accidents', 0.38030946), ('Burglary', 0.37379104), ('Arson', 0.33957362), ('Robbery', 0.30720997), ('Normal Videos', 0.29989257), ('Explosion', 0.27087605), ('Fighting', 0.24421051), ('Abuse', 0.23475695), ('Shooting', 0.23119292), ('Stealing', 0.22578624), ('Arrest', 0.21350509), ('Assault', 0.20261268)]
Abuse047_x264: [('Vandalism', 0.52368134), ('Road Accidents', 0.5195102), ('Burglary', 0.51521564), ('Normal Videos', 0.4970454), ('Shoplifting', 0.49407685), ('Arson', 0.4732465), ('Robbery', 0.46740928), ('Explosion', 0.44342887), ('Shooting', 0.42589837), ('Fighting', 0.420698), ('Abuse', 0.41343874), ('Stealing', 0.4089001), ('Arrest', 0.40111795), ('Assault', 0.39115486)]
Abuse017_x264: [('Shoplifting', 0.37840635), ('Vandalism', 0.37696013), ('Burglary', 0.36748132), ('Road Accidents', 0.34514272), ('Arson', 0.31306213), ('Robbery', 0.30748585), ('Normal Videos', 0.30312133), ('Explosion', 0.24383599), ('Fighting', 0.21886651), ('Shooting', 0.2179724), ('Stealing', 0.20694432), ('Abuse', 0.2045919), ('Arrest', 0.19585204), ('Assault', 0.18020165)]
Burglary063_x264: [('Road Accidents', 0.5412188), ('Burglary', 0.5257088), ('Vandalism', 0.5163347), ('Arson', 0.5087346), ('Normal Videos', 0.49381524), ('Shoplifting', 0.4916912), ('Explosion', 0.46840298), ('Robbery', 0.46219492), ('Fighting', 0.45857424), ('Shooting', 0.45409006), ('Abuse', 0.43591547), ('Stealing', 0.42986178), ('Arrest', 0.4259428), ('Assault', 0.4225387)]
Burglary069_x264: [('Burglary', 0.50783545), ('Road Accidents', 0.49760917), ('Vandalism', 0.49142405), ('Normal Videos', 0.47594014), ('Shoplifting', 0.46373498), ('Arson', 0.45162684), ('Robbery', 0.43909696), ('Explosion', 0.42383897), ('Shooting', 0.40104035), ('Fighting', 0.39850208), ('Abuse', 0.38613683), ('Stealing', 0.38331127), ('Arrest', 0.37950435), ('Assault', 0.36756742)]
Burglary100_x264: [('Vandalism', 0.40030503), ('Road Accidents', 0.3856396), ('Shoplifting', 0.38083503), ('Burglary', 0.3784867), ('Arson', 0.36702222), ('Robbery', 0.36066175), ('Normal Videos', 0.33852255), ('Explosion', 0.33346057), ('Fighting', 0.32757884), ('Shooting', 0.31290632), ('Stealing', 0.31257153), ('Abuse', 0.31011915), ('Arrest', 0.3062368), ('Assault', 0.29324037)]
Burglary046_x264: [('Burglary', 0.50764894), ('Road Accidents', 0.49796408), ('Vandalism', 0.49089992), ('Shoplifting', 0.47516805), ('Arson', 0.44458094), ('Normal Videos', 0.43937415), ('Robbery', 0.43593624), ('Explosion', 0.39854205), ('Shooting', 0.37400073), ('Fighting', 0.37295207), ('Abuse', 0.35731843), ('Stealing', 0.35173458), ('Arrest', 0.34411392), ('Assault', 0.33793175)]
Burglary089_x264: [('Burglary', 0.51005244), ('Road Accidents', 0.5050174), ('Vandalism', 0.5007168), ('Normal Videos', 0.47922373), ('Arson', 0.45804465), ('Shoplifting', 0.45453823), ('Robbery', 0.43290758), ('Explosion', 0.4250719), ('Shooting', 0.40612245), ('Fighting', 0.40384874), ('Abuse', 0.39070642), ('Arrest', 0.38383937), ('Stealing', 0.38037324), ('Assault', 0.37791985)]
Burglary059_x264: [('Burglary', 0.6365602), ('Vandalism', 0.6148133), ('Road Accidents', 0.603139), ('Normal Videos', 0.5696615), ('Shoplifting', 0.55817235), ('Arson', 0.5560855), ('Robbery', 0.54500103), ('Explosion', 0.53467005), ('Shooting', 0.49853408), ('Fighting', 0.49153495), ('Abuse', 0.48117554), ('Stealing', 0.4744466), ('Arrest', 0.47031307), ('Assault', 0.46824637)]
Burglary082_x264: [('Burglary', 0.5091574), ('Vandalism', 0.4998271), ('Road Accidents', 0.497896), ('Shoplifting', 0.4740886), ('Arson', 0.45844007), ('Normal Videos', 0.4323085), ('Robbery', 0.42415023), ('Explosion', 0.41363585), ('Fighting', 0.38319254), ('Abuse', 0.37607473), ('Shooting', 0.37492162), ('Stealing', 0.36459064), ('Arrest', 0.35550144), ('Assault', 0.3470444)]
Burglary027_x264: [('Burglary', 0.39910376), ('Vandalism', 0.3967086), ('Shoplifting', 0.3959208), ('Road Accidents', 0.38187388), ('Arson', 0.37355906), ('Normal Videos', 0.3426558), ('Robbery', 0.32678992), ('Explosion', 0.29515314), ('Shooting', 0.2620469), ('Fighting', 0.25533575), ('Abuse', 0.24668132), ('Stealing', 0.24467494), ('Arrest', 0.22900674), ('Assault', 0.22219592)]
Burglary037_x264: [('Burglary', 0.52232647), ('Vandalism', 0.5201998), ('Road Accidents', 0.51429147), ('Shoplifting', 0.4783245), ('Normal Videos', 0.47645643), ('Arson', 0.46991792), ('Robbery', 0.45551053), ('Explosion', 0.42856103), ('Shooting', 0.411708), ('Fighting', 0.41084182), ('Abuse', 0.39587554), ('Stealing', 0.38513726), ('Arrest', 0.38293967), ('Assault', 0.37833753)]
Burglary016_x264: [('Vandalism', 0.49177378), ('Road Accidents', 0.48805195), ('Burglary', 0.48256728), ('Shoplifting', 0.44156837), ('Arson', 0.43395704), ('Normal Videos', 0.404608), ('Robbery', 0.38388038), ('Explosion', 0.3793658), ('Fighting', 0.36311927), ('Shooting', 0.35454658), ('Abuse', 0.35071853), ('Arrest', 0.33737814), ('Stealing', 0.33135015), ('Assault', 0.33106974)]
Burglary096_x264: [('Shoplifting', 0.41077948), ('Burglary', 0.39456165), ('Vandalism', 0.39338258), ('Road Accidents', 0.38977033), ('Arson', 0.3601554), ('Normal Videos', 0.33993354), ('Robbery', 0.3347419), ('Explosion', 0.29620564), ('Fighting', 0.27848473), ('Shooting', 0.2671488), ('Abuse', 0.26316354), ('Stealing', 0.26068088), ('Arrest', 0.23970975), ('Assault', 0.22721495)]
Burglary064_x264: [('Burglary', 0.42250323), ('Vandalism', 0.4131658), ('Road Accidents', 0.41047752), ('Shoplifting', 0.40019348), ('Arson', 0.3756934), ('Normal Videos', 0.35711598), ('Robbery', 0.34223655), ('Explosion', 0.31232733), ('Fighting', 0.29506892), ('Shooting', 0.29062334), ('Abuse', 0.2780708), ('Stealing', 0.26685983), ('Arrest', 0.2625242), ('Assault', 0.2571416)]
Burglary055_x264: [('Burglary', 0.5604443), ('Vandalism', 0.5527243), ('Road Accidents', 0.5516654), ('Arson', 0.51486886), ('Normal Videos', 0.48666713), ('Shoplifting', 0.4822107), ('Robbery', 0.46694297), ('Explosion', 0.46340537), ('Fighting', 0.43591034), ('Shooting', 0.43546784), ('Abuse', 0.42331788), ('Arrest', 0.4103202), ('Assault', 0.4057998), ('Stealing', 0.40222675)]
Burglary072_x264: [('Vandalism', 0.5353212), ('Burglary', 0.5275186), ('Road Accidents', 0.5250735), ('Normal Videos', 0.5130305), ('Arson', 0.4992286), ('Shoplifting', 0.4959638), ('Robbery', 0.47301537), ('Explosion', 0.4663819), ('Shooting', 0.45209858), ('Fighting', 0.4520067), ('Abuse', 0.4384949), ('Stealing', 0.43237543), ('Arrest', 0.42093256), ('Assault', 0.41487154)]
Burglary091_x264: [('Burglary', 0.4917703), ('Road Accidents', 0.48621815), ('Vandalism', 0.4718457), ('Shoplifting', 0.46819907), ('Arson', 0.45824435), ('Normal Videos', 0.4574662), ('Robbery', 0.43375534), ('Explosion', 0.4113703), ('Shooting', 0.3899516), ('Fighting', 0.38756475), ('Abuse', 0.3694357), ('Stealing', 0.36905447), ('Arrest', 0.36312848), ('Assault', 0.35198236)]
Burglary075_x264: [('Vandalism', 0.38604096), ('Shoplifting', 0.3844027), ('Road Accidents', 0.37012964), ('Burglary', 0.36305052), ('Arson', 0.33120644), ('Normal Videos', 0.32684088), ('Robbery', 0.30908644), ('Explosion', 0.2690004), ('Fighting', 0.25182074), ('Shooting', 0.25004575), ('Abuse', 0.24878424), ('Stealing', 0.2401951), ('Arrest', 0.22942367), ('Assault', 0.2180827)]
Burglary014_x264: [('Burglary', 0.51667434), ('Vandalism', 0.5031665), ('Road Accidents', 0.49982393), ('Shoplifting', 0.4729632), ('Arson', 0.46814942), ('Normal Videos', 0.44792414), ('Robbery', 0.44162458), ('Explosion', 0.42031085), ('Fighting', 0.4033489), ('Shooting', 0.39453736), ('Abuse', 0.3766812), ('Arrest', 0.37253547), ('Stealing', 0.371931), ('Assault', 0.36464456)]
Burglary019_x264: [('Burglary', 0.51289964), ('Vandalism', 0.5125494), ('Road Accidents', 0.5079631), ('Arson', 0.4791597), ('Shoplifting', 0.4696089), ('Normal Videos', 0.4531304), ('Robbery', 0.4378077), ('Explosion', 0.41983992), ('Shooting', 0.38948107), ('Fighting', 0.3867354), ('Abuse', 0.38046136), ('Stealing', 0.36743394), ('Arrest', 0.36166313), ('Assault', 0.35749972)]
Burglary067_x264: [('Vandalism', 0.41496757), ('Burglary', 0.3950221), ('Shoplifting', 0.38355768), ('Road Accidents', 0.3818294), ('Arson', 0.34009057), ('Normal Videos', 0.32956278), ('Robbery', 0.3280127), ('Explosion', 0.26956624), ('Shooting', 0.25151306), ('Fighting', 0.24415642), ('Abuse', 0.23665139), ('Stealing', 0.22615865), ('Arrest', 0.22217521), ('Assault', 0.21230732)]
Burglary035_x264: [('Burglary', 0.48919624), ('Road Accidents', 0.4842078), ('Vandalism', 0.4838814), ('Shoplifting', 0.46106988), ('Normal Videos', 0.44992906), ('Arson', 0.44619066), ('Robbery', 0.42621663), ('Explosion', 0.40173283), ('Shooting', 0.38049805), ('Fighting', 0.37841558), ('Abuse', 0.36487347), ('Stealing', 0.35823384), ('Arrest', 0.3550642), ('Assault', 0.34521234)]
Burglary094_x264: [('Burglary', 0.5655652), ('Road Accidents', 0.5606186), ('Vandalism', 0.5469119), ('Shoplifting', 0.51712024), ('Arson', 0.5130966), ('Normal Videos', 0.4856938), ('Robbery', 0.48120207), ('Explosion', 0.455416), ('Shooting', 0.43045315), ('Fighting', 0.42595005), ('Abuse', 0.42050403), ('Stealing', 0.40736383), ('Arrest', 0.40727174), ('Assault', 0.40150994)]
Burglary073_x264: [('Burglary', 0.45509464), ('Road Accidents', 0.45115066), ('Shoplifting', 0.44946283), ('Vandalism', 0.44897655), ('Normal Videos', 0.4105052), ('Arson', 0.40905267), ('Robbery', 0.39745384), ('Explosion', 0.35622844), ('Fighting', 0.33850968), ('Shooting', 0.33820263), ('Abuse', 0.3226672), ('Stealing', 0.31793904), ('Arrest', 0.31400186), ('Assault', 0.30000657)]
Burglary050_x264: [('Road Accidents', 0.6019172), ('Vandalism', 0.5910741), ('Burglary', 0.5904765), ('Normal Videos', 0.5766146), ('Arson', 0.5514643), ('Shoplifting', 0.5421264), ('Robbery', 0.5380281), ('Explosion', 0.5279261), ('Shooting', 0.52299815), ('Fighting', 0.5097837), ('Abuse', 0.5052701), ('Stealing', 0.4916407), ('Arrest', 0.48825574), ('Assault', 0.48683754)]
Burglary070_x264: [('Burglary', 0.63096404), ('Road Accidents', 0.6168972), ('Vandalism', 0.6133726), ('Normal Videos', 0.60762656), ('Arson', 0.5790118), ('Robbery', 0.5704602), ('Shoplifting', 0.5677124), ('Explosion', 0.56190693), ('Shooting', 0.54394925), ('Fighting', 0.53412485), ('Abuse', 0.5243605), ('Arrest', 0.5193446), ('Stealing', 0.51919746), ('Assault', 0.51244295)]
Burglary086_x264: [('Burglary', 0.5236275), ('Road Accidents', 0.51288635), ('Vandalism', 0.5065335), ('Arson', 0.4809969), ('Shoplifting', 0.47794056), ('Normal Videos', 0.4580077), ('Robbery', 0.4452418), ('Explosion', 0.4241693), ('Fighting', 0.4035152), ('Shooting', 0.40014464), ('Abuse', 0.38520142), ('Stealing', 0.3735184), ('Arrest', 0.37070042), ('Assault', 0.36563882)]
Burglary002_x264: [('Vandalism', 0.42401853), ('Shoplifting', 0.41966742), ('Burglary', 0.41411236), ('Road Accidents', 0.41126454), ('Arson', 0.40372717), ('Robbery', 0.3625249), ('Normal Videos', 0.36083627), ('Explosion', 0.32907808), ('Fighting', 0.3068603), ('Shooting', 0.30568433), ('Abuse', 0.2951688), ('Stealing', 0.29412806), ('Arrest', 0.27856842), ('Assault', 0.26768532)]
Burglary034_x264: [('Burglary', 0.5600612), ('Road Accidents', 0.55679655), ('Vandalism', 0.55433565), ('Normal Videos', 0.53136647), ('Shoplifting', 0.5195775), ('Arson', 0.5182067), ('Robbery', 0.502712), ('Explosion', 0.48046374), ('Shooting', 0.46742153), ('Fighting', 0.46157533), ('Abuse', 0.45116273), ('Stealing', 0.44021362), ('Arrest', 0.4392522), ('Assault', 0.43322605)]
Burglary012_x264: [('Burglary', 0.47094113), ('Vandalism', 0.46674627), ('Shoplifting', 0.45692605), ('Road Accidents', 0.448673), ('Arson', 0.39834398), ('Robbery', 0.39592427), ('Normal Videos', 0.39010143), ('Explosion', 0.33932185), ('Shooting', 0.31511804), ('Fighting', 0.3070656), ('Abuse', 0.2926922), ('Stealing', 0.29078084), ('Arrest', 0.28747058), ('Assault', 0.27334973)]
Burglary062_x264: [('Road Accidents', 0.53502274), ('Burglary', 0.52699155), ('Vandalism', 0.5197722), ('Normal Videos', 0.502766), ('Arson', 0.50005513), ('Shoplifting', 0.48552227), ('Robbery', 0.46729082), ('Explosion', 0.45931736), ('Fighting', 0.4483797), ('Shooting', 0.44249237), ('Abuse', 0.42918527), ('Stealing', 0.42125177), ('Assault', 0.417365), ('Arrest', 0.41527164)]
Burglary006_x264: [('Burglary', 0.41860417), ('Shoplifting', 0.4182142), ('Vandalism', 0.41568723), ('Road Accidents', 0.40951428), ('Arson', 0.38913202), ('Normal Videos', 0.36465415), ('Robbery', 0.35709065), ('Explosion', 0.3170031), ('Shooting', 0.28969568), ('Fighting', 0.2854171), ('Abuse', 0.27698395), ('Stealing', 0.2767625), ('Arrest', 0.26533705), ('Assault', 0.25298497)]
Burglary003_x264: [('Vandalism', 0.46093732), ('Shoplifting', 0.4549079), ('Burglary', 0.43886834), ('Road Accidents', 0.42099902), ('Arson', 0.39184493), ('Robbery', 0.3690753), ('Normal Videos', 0.34850642), ('Explosion', 0.32136834), ('Fighting', 0.27132067), ('Shooting', 0.27006385), ('Abuse', 0.2627753), ('Stealing', 0.2592225), ('Arrest', 0.24724081), ('Assault', 0.23318355)]
Burglary009_x264: [('Vandalism', 0.476358), ('Burglary', 0.46582943), ('Road Accidents', 0.44943646), ('Shoplifting', 0.44305202), ('Arson', 0.41868532), ('Normal Videos', 0.39673787), ('Robbery', 0.39009935), ('Explosion', 0.34806323), ('Fighting', 0.31984913), ('Shooting', 0.3184442), ('Abuse', 0.3067637), ('Stealing', 0.29853022), ('Arrest', 0.29113486), ('Assault', 0.28894216)]
Burglary081_x264: [('Burglary', 0.53981364), ('Vandalism', 0.5270699), ('Road Accidents', 0.48582068), ('Shoplifting', 0.4642345), ('Arson', 0.4631362), ('Normal Videos', 0.43674308), ('Robbery', 0.42822307), ('Explosion', 0.4063902), ('Shooting', 0.36334285), ('Fighting', 0.35610154), ('Abuse', 0.34399658), ('Stealing', 0.34141317), ('Arrest', 0.33704886), ('Assault', 0.3281572)]
Burglary060_x264: [('Vandalism', 0.5433507), ('Burglary', 0.518921), ('Road Accidents', 0.4949186), ('Shoplifting', 0.49212217), ('Arson', 0.47518632), ('Normal Videos', 0.4657106), ('Robbery', 0.4481694), ('Explosion', 0.42207986), ('Shooting', 0.40634093), ('Fighting', 0.39712283), ('Abuse', 0.39195806), ('Stealing', 0.388573), ('Arrest', 0.37402976), ('Assault', 0.3627382)]
Burglary097_x264: [('Vandalism', 0.49396634), ('Burglary', 0.4804666), ('Shoplifting', 0.47013927), ('Road Accidents', 0.42370448), ('Arson', 0.40760368), ('Robbery', 0.3881958), ('Normal Videos', 0.3537891), ('Explosion', 0.33386374), ('Fighting', 0.2829898), ('Stealing', 0.2748782), ('Shooting', 0.27355826), ('Abuse', 0.2733261), ('Arrest', 0.26294556), ('Assault', 0.25089642)]
Burglary047_x264: [('Road Accidents', 0.5641185), ('Burglary', 0.556162), ('Vandalism', 0.5532466), ('Normal Videos', 0.53102314), ('Arson', 0.51528174), ('Shoplifting', 0.5133941), ('Robbery', 0.4927368), ('Explosion', 0.49030942), ('Shooting', 0.47715253), ('Fighting', 0.46959668), ('Abuse', 0.464015), ('Stealing', 0.4489082), ('Arrest', 0.44768763), ('Assault', 0.4465224)]
Burglary090_x264: [('Road Accidents', 0.52267206), ('Normal Videos', 0.5158516), ('Burglary', 0.5118281), ('Arson', 0.50063884), ('Vandalism', 0.49806303), ('Shoplifting', 0.4750906), ('Explosion', 0.46709192), ('Shooting', 0.46476516), ('Robbery', 0.46149603), ('Fighting', 0.45733857), ('Abuse', 0.4344133), ('Stealing', 0.42873985), ('Assault', 0.42511648), ('Arrest', 0.42431635)]
